data.programNumber,value_assistanceUsage
93.011,Planning
93.011,Regional Development
93.011,Training
93.059,Health/Medical
93.059,Planning
93.059,Training
93.236,Health/Medical
93.236,Training
93.236,Vocational Education
93.124,Health/Medical
93.124,Training
93.117,Health/Medical
93.117,Planning
93.117,Training
14.326,Housing
66.432,"Environment (water, air, solid waste, pesticides, radiation)"
12.800,Higher Education (includes Research)
12.800,Science and Technology
20.325,Transportation
14.862,Economic Development
14.862,Housing
14.862,Planning
14.862,Public Works
14.862,Training
14.862,Community Development (includes Federal surplus property)
14.862,Construction/Renewal/Rehabilitation
12.114,Higher Education (includes Research)
12.114,Construction/Renewal/Rehabilitation
14.191,Housing
20.111,Vocational Education
20.111,Training
20.111,Youth Development
20.111,Higher Education (includes Research)
12.460,Construction/Renewal/Rehabilitation
14.870,Housing
20.317,Transportation
20.313,Transportation
20.328,Transportation
20.328,Planning
20.240,Transportation
20.233,Transportation
20.939,Transportation
15.969,No Functional Application/Unlimited Application
15.650,"Natural Resources (mineral, water, wildlife, land)"
20.231,Transportation
20.215,Training
15.654,Higher Education (includes Research)
15.654,Agriculture/Forestry/Fish and Game
15.654,"Natural Resources (mineral, water, wildlife, land)"
20.219,"Environment (water, air, solid waste, pesticides, radiation)"
20.219,"Natural Resources (mineral, water, wildlife, land)"
20.219,Recreation (includes Historic Preservation)
20.219,Transportation
15.652,Higher Education (includes Research)
15.652,Agriculture/Forestry/Fish and Game
15.553,Public Works
15.553,Regional Development
81.009,Science and Technology
15.611,Higher Education (includes Research)
15.611,Agriculture/Forestry/Fish and Game
81.251,Employment/Labor/Management
81.251,Higher Education (includes Research)
81.251,Training
93.884,Health/Medical
93.884,Higher Education (includes Research)
15.966,Culture/Arts/Humanities
15.966,Higher Education (includes Research)
15.966,Recreation (includes Historic Preservation)
15.966,Community Development (includes Federal surplus property)
15.966,Construction/Renewal/Rehabilitation
15.966,Economic Development
15.966,Planning
15.966,Regional Development
93.145,Health/Medical
93.145,Training
93.969,Health/Medical
93.969,Training
93.926,Health/Medical
93.280,Health/Medical
93.870,Health/Medical
93.870,Planning
93.870,Training
12.501,Higher Education (includes Research)
12.501,Training
93.157,Health/Medical
93.157,Higher Education (includes Research)
12.351,Science and Technology
12.351,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
93.994,Health/Medical
93.134,Health/Medical
93.504,Health/Medical
93.877,Health/Medical
93.877,Higher Education (includes Research)
93.877,Regional Development
93.877,Training
93.127,Health/Medical
93.127,Planning
93.924,Health/Medical
93.153,Health/Medical
12.008,"Natural Resources (mineral, water, wildlife, land)"
93.680,Health/Medical
93.680,Higher Education (includes Research)
93.680,Training
93.165,Health/Medical
12.355,"Environment (water, air, solid waste, pesticides, radiation)"
12.355,Health/Medical
12.355,Science and Technology
14.249,Housing
93.220,Health/Medical
93.822,Health/Medical
93.925,Health/Medical
93.925,Higher Education (includes Research)
93.732,Health/Medical
93.732,Training
93.231,Health/Medical
93.231,Science and Technology
12.219,Science and Technology
84.323,Elementary/Secondary Education
84.323,Higher Education (includes Research)
84.323,Training
84.323,Vocational Rehabilitation
93.136,Health/Medical
93.136,Higher Education (includes Research)
93.136,Training
93.435,Health/Medical
93.435,Communications
93.799,Health/Medical
93.799,Youth Development
20.707,Energy
20.707,Public Works
20.707,Transportation
20.707,Training
93.376,Health/Medical
93.314,No Functional Application/Unlimited Application
84.011,Elementary/Secondary Education
93.426,Health/Medical
20.518,Transportation
20.518,Training
93.240,Health/Medical
93.240,Regional Development
84.240,Vocational Rehabilitation
84.191,Vocational Education
84.191,Training
12.357,Higher Education (includes Research)
93.980,Elementary/Secondary Education
93.980,Health/Medical
93.980,Planning
93.980,Regional Development
93.980,Science and Technology
93.980,Training
93.980,Youth Development
93.980,Communications
93.080,No Functional Application/Unlimited Application
84.173,Elementary/Secondary Education
20.724,Energy
20.724,Higher Education (includes Research)
20.724,Science and Technology
20.724,Transportation
93.161,Health/Medical
93.988,Health/Medical
20.521,Transportation
93.322,Public Works
93.067,Health/Medical
93.135,Health/Medical
93.135,Higher Education (includes Research)
93.941,Health/Medical
93.941,Training
93.079,Elementary/Secondary Education
93.079,Health/Medical
93.079,Training
93.079,Youth Development
84.149,Higher Education (includes Research)
93.354,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
84.145,Elementary/Secondary Education
84.145,Health/Medical
84.145,Higher Education (includes Research)
93.197,Health/Medical
93.073,Health/Medical
93.940,Health/Medical
93.940,Training
93.184,Health/Medical
93.391,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
93.185,Health/Medical
93.185,Higher Education (includes Research)
93.304,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
93.810,Health/Medical
19.220,No Functional Application/Unlimited Application
93.945,Health/Medical
93.945,Communications
93.823,Health/Medical
93.823,Science and Technology
12.550,Higher Education (includes Research)
84.022,Higher Education (includes Research)
93.118,Health/Medical
93.070,Health/Medical
93.070,Higher Education (includes Research)
93.070,Business/Commerce
93.939,Health/Medical
93.939,Training
84.002,Training
20.700,Energy
20.700,Public Works
20.700,Transportation
20.700,Training
84.328,Training
84.328,Youth Development
84.018,Elementary/Secondary Education
84.018,Training
93.943,Health/Medical
93.065,Health/Medical
93.534,Health/Medical
93.099,Health/Medical
93.323,Health/Medical
93.323,Science and Technology
93.323,Training
93.494,Health/Medical
20.529,Transportation
93.446,Health/Medical
20.524,Construction/Renewal/Rehabilitation
93.315,No Functional Application/Unlimited Application
93.800,Health/Medical
21.011,Economic Development
21.011,Housing
21.011,Community Development (includes Federal surplus property)
19.223,No Functional Application/Unlimited Application
20.514,Higher Education (includes Research)
20.514,Transportation
20.514,Planning
20.514,Training
20.514,Vocational Education
20.514,Youth Development
20.514,Economic Development
20.514,Regional Development
20.514,Employment/Labor/Management
20.514,Energy
20.514,Science and Technology
93.860,Health/Medical
93.860,Science and Technology
93.860,Training
20.936,Transportation
93.336,Health/Medical
19.706,No Functional Application/Unlimited Application
20.706,Transportation
20.706,Training
20.706,Energy
20.706,Public Works
20.519,Transportation
93.991,Health/Medical
84.141,Elementary/Secondary Education
93.270,Health/Medical
93.270,Science and Technology
93.270,Training
93.326,"Environment (water, air, solid waste, pesticides, radiation)"
93.326,Food and Nutrition
93.326,Health/Medical
93.326,Science and Technology
20.534,No Functional Application/Unlimited Application
93.061,Health/Medical
20.223,Public Works
20.223,Transportation
90.800,No Functional Application/Unlimited Application
20.527,Public Works
20.527,Transportation
20.527,Construction/Renewal/Rehabilitation
93.317,Health/Medical
93.317,Science and Technology
93.317,Training
93.082,Food and Nutrition
93.082,Health/Medical
93.978,Health/Medical
93.488,Health/Medical
93.488,Communications
93.947,Health/Medical
93.947,Training
20.533,Transportation
93.850,Health/Medical
93.850,Communications
19.979,No Functional Application/Unlimited Application
19.979,Health/Medical
19.979,Agriculture/Forestry/Fish and Game
19.979,"Law, Justice, and Legal Services"
19.979,Maritime
19.979,Training
19.979,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
19.979,Construction/Renewal/Rehabilitation
93.684,Planning
93.684,Training
93.684,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
19.989,Economic Development
93.981,Elementary/Secondary Education
93.981,Food and Nutrition
93.981,Health/Medical
20.528,Transportation
93.066,Health/Medical
20.522,Planning
20.522,Transportation
93.116,Health/Medical
93.116,Training
20.720,Transportation
93.834,Health/Medical
93.834,Training
93.348,Health/Medical
93.261,Health/Medical
93.479,Health/Medical
93.874,Health/Medical
84.196,Elementary/Secondary Education
93.439,Health/Medical
84.160,Higher Education (includes Research)
84.160,Training
84.160,Vocational Rehabilitation
93.372,Science and Technology
84.217,Higher Education (includes Research)
84.033,Higher Education (includes Research)
84.033,Vocational Education
15.077,Construction/Renewal/Rehabilitation
84.283,Elementary/Secondary Education
84.305,Elementary/Secondary Education
84.305,Higher Education (includes Research)
84.374,Higher Education (includes Research)
84.007,Higher Education (includes Research)
84.264,Training
84.264,Vocational Rehabilitation
93.837,Health/Medical
93.837,Higher Education (includes Research)
84.336,Elementary/Secondary Education
84.336,Higher Education (includes Research)
84.380,Training
84.380,Youth Development
93.839,Health/Medical
93.839,Higher Education (includes Research)
12.006,No Functional Application/Unlimited Application
12.006,Elementary/Secondary Education
12.006,Higher Education (includes Research)
12.006,Science and Technology
12.006,Training
12.006,Vocational Education
12.006,Youth Development
81.106,Energy
81.106,"Environment (water, air, solid waste, pesticides, radiation)"
81.106,"Natural Resources (mineral, water, wildlife, land)"
81.106,Planning
81.106,Regional Development
84.282,Elementary/Secondary Education
12.015,Training
12.015,Science and Technology
84.047,Elementary/Secondary Education
84.324,Elementary/Secondary Education
84.324,Higher Education (includes Research)
84.426,Vocational Education
93.213,Health/Medical
93.213,Science and Technology
84.327,Elementary/Secondary Education
84.327,Higher Education (includes Research)
84.327,Libraries/lnformation/Statistics
84.327,Training
84.327,Communications
84.354,Elementary/Secondary Education
15.078,"Natural Resources (mineral, water, wildlife, land)"
15.078,Science and Technology
12.630,Higher Education (includes Research)
12.630,Science and Technology
93.321,No Functional Application/Unlimited Application
93.321,Science and Technology
84.408,Higher Education (includes Research)
84.040,Elementary/Secondary Education
84.040,Construction/Renewal/Rehabilitation
84.250,Vocational Rehabilitation
15.550,Recreation (includes Historic Preservation)
12.579,Higher Education (includes Research)
12.579,Training
84.268,Higher Education (includes Research)
84.268,Training
84.326,Elementary/Secondary Education
84.326,Training
84.326,Youth Development
84.013,Elementary/Secondary Education
81.255,Energy
84.373,Higher Education (includes Research)
93.233,Health/Medical
93.233,Higher Education (includes Research)
93.233,Youth Development
84.044,Elementary/Secondary Education
84.044,Higher Education (includes Research)
84.044,Training
93.173,Health/Medical
93.173,Higher Education (includes Research)
84.063,Higher Education (includes Research)
84.004,Elementary/Secondary Education
84.004,Training
84.263,Vocational Rehabilitation
84.411,Elementary/Secondary Education
15.075,Construction/Renewal/Rehabilitation
12.551,Higher Education (includes Research)
84.365,Elementary/Secondary Education
84.246,Training
84.246,Vocational Rehabilitation
15.250,"Environment (water, air, solid waste, pesticides, radiation)"
15.250,"Natural Resources (mineral, water, wildlife, land)"
93.121,Health/Medical
93.121,Science and Technology
93.121,Training
84.310,Youth Development
84.310,Community Development (includes Federal surplus property)
93.879,Health/Medical
93.879,Higher Education (includes Research)
93.879,Training
81.104,"Environment (water, air, solid waste, pesticides, radiation)"
81.136,"Environment (water, air, solid waste, pesticides, radiation)"
12.404,Youth Development
12.404,Vocational Education
12.020,Elementary/Secondary Education
12.020,Science and Technology
12.020,Youth Development
14.128,Health/Medical
14.128,Housing
19.013,Higher Education (includes Research)
19.013,Training
19.500,Economic Development
19.500,Elementary/Secondary Education
19.500,Employment/Labor/Management
19.500,Higher Education (includes Research)
19.500,"Law, Justice, and Legal Services"
19.500,Regional Development
19.500,Business/Commerce
19.500,Training
19.500,Youth Development
19.500,Vocational Education
19.500,Community Development (includes Federal surplus property)
12.225,Science and Technology
14.138,Housing
14.122,Housing
14.122,Construction/Renewal/Rehabilitation
14.135,Housing
19.020,Higher Education (includes Research)
19.020,Training
14.322,Training
14.322,Planning
14.322,Communications
14.195,Housing
66.436,"Environment (water, air, solid waste, pesticides, radiation)"
66.487,"Environment (water, air, solid waste, pesticides, radiation)"
81.140,Planning
81.140,Public Works
81.140,Training
81.140,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
66.462,"Environment (water, air, solid waste, pesticides, radiation)"
66.462,Training
66.485,"Environment (water, air, solid waste, pesticides, radiation)"
19.600,No Functional Application/Unlimited Application
14.162,Housing
19.900,Business/Commerce
19.900,Communications
19.900,Community Development (includes Federal surplus property)
14.129,Health/Medical
14.129,Housing
14.129,Construction/Renewal/Rehabilitation
14.311,Housing
14.155,Housing
14.316,Housing
19.036,No Functional Application/Unlimited Application
19.601,No Functional Application/Unlimited Application
19.221,No Functional Application/Unlimited Application
66.442,"Environment (water, air, solid waste, pesticides, radiation)"
16.045,Health/Medical
16.045,Higher Education (includes Research)
16.045,"Law, Justice, and Legal Services"
16.045,Training
16.045,Youth Development
16.734,"Law, Justice, and Legal Services"
16.753,"Law, Justice, and Legal Services"
16.739,"Law, Justice, and Legal Services"
16.051,"Law, Justice, and Legal Services"
81.252,Science and Technology
16.034,"Law, Justice, and Legal Services"
16.034,Health/Medical
16.607,"Law, Justice, and Legal Services"
15.544,"Natural Resources (mineral, water, wildlife, land)"
16.835,No Functional Application/Unlimited Application
16.835,Higher Education (includes Research)
16.835,"Law, Justice, and Legal Services"
16.835,Libraries/lnformation/Statistics
16.835,Maritime
16.835,Planning
16.835,Science and Technology
16.835,Training
16.741,"Law, Justice, and Legal Services"
16.745,"Law, Justice, and Legal Services"
16.838,"Law, Justice, and Legal Services"
15.225,Recreation (includes Historic Preservation)
15.225,"Natural Resources (mineral, water, wildlife, land)"
16.813,"Law, Justice, and Legal Services"
15.234,"Natural Resources (mineral, water, wildlife, land)"
15.234,Construction/Renewal/Rehabilitation
15.248,"Natural Resources (mineral, water, wildlife, land)"
15.248,"Environment (water, air, solid waste, pesticides, radiation)"
15.248,Recreation (includes Historic Preservation)
15.248,Science and Technology
16.746,"Law, Justice, and Legal Services"
15.539,"Natural Resources (mineral, water, wildlife, land)"
15.560,"Natural Resources (mineral, water, wildlife, land)"
15.560,Planning
16.047,"Law, Justice, and Legal Services"
16.844,"Law, Justice, and Legal Services"
16.554,"Law, Justice, and Legal Services"
15.239,"Natural Resources (mineral, water, wildlife, land)"
15.214,"Natural Resources (mineral, water, wildlife, land)"
90.400,Training
47.041,Higher Education (includes Research)
47.041,Science and Technology
15.631,"Natural Resources (mineral, water, wildlife, land)"
47.079,International (includes Export/lmport)
47.079,Higher Education (includes Research)
47.079,Science and Technology
47.074,Higher Education (includes Research)
47.074,Science and Technology
47.050,Higher Education (includes Research)
47.050,Science and Technology
66.461,"Environment (water, air, solid waste, pesticides, radiation)"
81.065,Energy
81.065,"Environment (water, air, solid waste, pesticides, radiation)"
81.065,Science and Technology
81.102,No Functional Application/Unlimited Application
81.108,Energy
81.092,"Environment (water, air, solid waste, pesticides, radiation)"
66.489,"Environment (water, air, solid waste, pesticides, radiation)"
47.083,Science and Technology
47.083,Higher Education (includes Research)
47.078,Science and Technology
47.078,Higher Education (includes Research)
47.049,Higher Education (includes Research)
47.049,Science and Technology
47.070,Higher Education (includes Research)
47.070,Science and Technology
93.378,Health/Medical
81.113,Energy
81.113,Higher Education (includes Research)
81.113,Science and Technology
93.687,Health/Medical
93.303,Health/Medical
93.303,Higher Education (includes Research)
93.303,Training
93.342,Health/Medical
93.342,Higher Education (includes Research)
93.250,Health/Medical
93.288,Health/Medical
93.288,Higher Education (includes Research)
93.914,Health/Medical
93.932,Health/Medical
93.932,Planning
93.932,Regional Development
10.606,Economic Development
10.606,Food and Nutrition
10.606,Agriculture/Forestry/Fish and Game
10.606,Training
10.606,Construction/Renewal/Rehabilitation
16.320,"Law, Justice, and Legal Services"
16.543,"Law, Justice, and Legal Services"
16.035,Training
16.834,"Law, Justice, and Legal Services"
10.613,Higher Education (includes Research)
10.613,Training
10.613,Agriculture/Forestry/Fish and Game
16.756,"Law, Justice, and Legal Services"
16.582,"Law, Justice, and Legal Services"
20.109,Higher Education (includes Research)
20.109,Transportation
10.138,Agriculture/Forestry/Fish and Game
16.830,Income Security/Social Service/Welfare
16.830,Planning
16.830,Training
16.830,Youth Development
16.726,Training
16.726,Youth Development
16.726,Vocational Rehabilitation
10.752,No Functional Application/Unlimited Application
10.886,Communications
10.855,Health/Medical
10.855,Libraries/lnformation/Statistics
10.863,Agriculture/Forestry/Fish and Game
10.450,Agriculture/Forestry/Fish and Game
66.445,"Environment (water, air, solid waste, pesticides, radiation)"
66.486,"Environment (water, air, solid waste, pesticides, radiation)"
97.027,Training
97.027,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
97.028,Training
97.028,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
21.024,Business/Commerce
21.024,Economic Development
21.024,Community Development (includes Federal surplus property)
21.024,Training
97.026,Training
97.026,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
21.033,Business/Commerce
21.033,Economic Development
21.033,Communications
21.033,Community Development (includes Federal surplus property)
21.033,Employment/Labor/Management
21.033,Food and Nutrition
21.033,Health/Medical
21.033,Housing
14.252,Economic Development
14.252,Housing
14.252,Planning
14.252,Training
14.252,Community Development (includes Federal surplus property)
14.265,Economic Development
14.265,Housing
14.265,Planning
14.265,Training
14.265,Community Development (includes Federal surplus property)
16.832,"Law, Justice, and Legal Services"
16.832,Libraries/lnformation/Statistics
16.832,Training
16.832,Youth Development
15.068,Economic Development
15.068,Culture/Arts/Humanities
15.068,Community Development (includes Federal surplus property)
15.068,Construction/Renewal/Rehabilitation
15.068,Recreation (includes Historic Preservation)
10.759,Public Works
16.818,"Law, Justice, and Legal Services"
16.818,Youth Development
16.831,"Law, Justice, and Legal Services"
16.831,Libraries/lnformation/Statistics
16.831,Training
16.831,Youth Development
10.461,Agriculture/Forestry/Fish and Game
16.836,"Law, Justice, and Legal Services"
66.424,"Environment (water, air, solid waste, pesticides, radiation)"
16.321,"Law, Justice, and Legal Services"
16.758,"Law, Justice, and Legal Services"
16.757,"Law, Justice, and Legal Services"
16.575,"Law, Justice, and Legal Services"
16.731,"Law, Justice, and Legal Services"
16.842,Planning
16.842,Training
10.462,Agriculture/Forestry/Fish and Game
66.433,"Environment (water, air, solid waste, pesticides, radiation)"
66.305,"Environment (water, air, solid waste, pesticides, radiation)"
10.760,"Environment (water, air, solid waste, pesticides, radiation)"
66.611,"Environment (water, air, solid waste, pesticides, radiation)"
10.449,No Functional Application/Unlimited Application
66.920,"Environment (water, air, solid waste, pesticides, radiation)"
10.970,Agriculture/Forestry/Fish and Game
10.763,"Environment (water, air, solid waste, pesticides, radiation)"
10.762,"Environment (water, air, solid waste, pesticides, radiation)"
66.616,"Environment (water, air, solid waste, pesticides, radiation)"
66.921,"Environment (water, air, solid waste, pesticides, radiation)"
10.770,"Environment (water, air, solid waste, pesticides, radiation)"
66.818,"Environment (water, air, solid waste, pesticides, radiation)"
66.818,Planning
10.862,Agriculture/Forestry/Fish and Game
93.859,Health/Medical
93.859,Higher Education (includes Research)
12.017,Agriculture/Forestry/Fish and Game
12.017,"Environment (water, air, solid waste, pesticides, radiation)"
12.017,"Natural Resources (mineral, water, wildlife, land)"
81.005,"Environment (water, air, solid waste, pesticides, radiation)"
81.005,Higher Education (includes Research)
85.751,Economic Development
85.751,Elementary/Secondary Education
85.751,Employment/Labor/Management
85.751,"Environment (water, air, solid waste, pesticides, radiation)"
85.751,Food and Nutrition
85.751,Health/Medical
85.751,Higher Education (includes Research)
85.751,Housing
85.751,Income Security/Social Service/Welfare
85.751,Agriculture/Forestry/Fish and Game
85.751,International (includes Export/lmport)
85.751,"Law, Justice, and Legal Services"
85.751,"Natural Resources (mineral, water, wildlife, land)"
85.751,Planning
85.751,Regional Development
85.751,Business/Commerce
85.751,Training
85.751,Youth Development
85.751,Vocational Education
85.751,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
85.751,Community Development (includes Federal surplus property)
85.751,Construction/Renewal/Rehabilitation
85.751,Culture/Arts/Humanities
66.809,"Environment (water, air, solid waste, pesticides, radiation)"
66.700,"Environment (water, air, solid waste, pesticides, radiation)"
66.700,Training
66.454,"Environment (water, air, solid waste, pesticides, radiation)"
66.817,"Environment (water, air, solid waste, pesticides, radiation)"
66.817,Training
93.913,Health/Medical
93.300,Employment/Labor/Management
93.300,Health/Medical
93.155,Health/Medical
93.301,Health/Medical
93.965,Health/Medical
16.548,"Law, Justice, and Legal Services"
16.583,"Law, Justice, and Legal Services"
20.108,Higher Education (includes Research)
16.560,Higher Education (includes Research)
16.560,"Law, Justice, and Legal Services"
16.841,Health/Medical
16.841,"Law, Justice, and Legal Services"
16.841,Planning
16.841,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
16.053,"Law, Justice, and Legal Services"
16.540,"Law, Justice, and Legal Services"
16.540,Youth Development
15.630,"Natural Resources (mineral, water, wildlife, land)"
15.674,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
15.676,Youth Development
66.447,"Environment (water, air, solid waste, pesticides, radiation)"
66.447,Planning
10.968,Agriculture/Forestry/Fish and Game
10.854,Economic Development
10.854,Communications
10.854,Community Development (includes Federal surplus property)
10.978,Agriculture/Forestry/Fish and Game
10.997,Agriculture/Forestry/Fish and Game
10.997,Food and Nutrition
10.997,International (includes Export/lmport)
10.997,Science and Technology
12.617,Economic Development
12.617,Community Development (includes Federal surplus property)
12.610,Planning
12.610,Community Development (includes Federal surplus property)
66.716,"Environment (water, air, solid waste, pesticides, radiation)"
66.716,Health/Medical
66.716,Agriculture/Forestry/Fish and Game
66.716,Communications
66.716,Employment/Labor/Management
66.716,Science and Technology
66.716,Training
66.716,Vocational Education
15.916,Planning
15.916,Recreation (includes Historic Preservation)
66.801,"Environment (water, air, solid waste, pesticides, radiation)"
15.954,Recreation (includes Historic Preservation)
15.954,Community Development (includes Federal surplus property)
15.014,No Functional Application/Unlimited Application
64.056,Housing
64.056,"Law, Justice, and Legal Services"
20.946,No Functional Application/Unlimited Application
15.948,Training
15.948,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
14.895,No Functional Application/Unlimited Application
20.235,Transportation
15.955,Regional Development
15.962,"Natural Resources (mineral, water, wildlife, land)"
20.106,Planning
20.106,Construction/Renewal/Rehabilitation
20.614,Consumer Protection
20.614,Health/Medical
20.614,Higher Education (includes Research)
20.614,"Law, Justice, and Legal Services"
20.614,Public Works
20.614,Training
20.614,Transportation
15.939,Recreation (includes Historic Preservation)
93.612,Economic Development
93.612,Food and Nutrition
93.612,Income Security/Social Service/Welfare
93.612,Agriculture/Forestry/Fish and Game
93.612,"Natural Resources (mineral, water, wildlife, land)"
93.612,Planning
93.612,Recreation (includes Historic Preservation)
93.612,Training
93.612,Community Development (includes Federal surplus property)
93.612,Culture/Arts/Humanities
93.612,Elementary/Secondary Education
93.612,Transportation
20.243,Training
20.243,Transportation
93.434,Planning
93.434,Health/Medical
93.434,Training
15.011,"Natural Resources (mineral, water, wildlife, land)"
15.011,Training
15.923,Community Development (includes Federal surplus property)
15.930,Recreation (includes Historic Preservation)
20.901,Transportation
20.937,Transportation
20.232,"Law, Justice, and Legal Services"
20.232,Transportation
20.237,Transportation
15.071,Culture/Arts/Humanities
15.944,"Natural Resources (mineral, water, wildlife, land)"
15.935,"Natural Resources (mineral, water, wildlife, land)"
20.616,Transportation
14.261,Housing
64.034,Recreation (includes Historic Preservation)
64.034,Training
12.116,"Environment (water, air, solid waste, pesticides, radiation)"
12.116,"Natural Resources (mineral, water, wildlife, land)"
12.014,Higher Education (includes Research)
12.003,Community Development (includes Federal surplus property)
12.607,Economic Development
12.607,Community Development (includes Federal surplus property)
12.614,Economic Development
12.604,Planning
12.604,Community Development (includes Federal surplus property)
12.615,Economic Development
12.611,Planning
12.618,Economic Development
15.926,Recreation (includes Historic Preservation)
15.926,Culture/Arts/Humanities
16.037,"Law, Justice, and Legal Services"
16.037,Science and Technology
16.585,"Law, Justice, and Legal Services"
15.938,Recreation (includes Historic Preservation)
15.943,Economic Development
15.943,"Environment (water, air, solid waste, pesticides, radiation)"
15.943,"Natural Resources (mineral, water, wildlife, land)"
15.943,Recreation (includes Historic Preservation)
15.943,Regional Development
15.943,Training
15.943,Culture/Arts/Humanities
16.049,"Law, Justice, and Legal Services"
66.926,"Environment (water, air, solid waste, pesticides, radiation)"
12.025,Recreation (includes Historic Preservation)
10.851,Communications
66.957,"Environment (water, air, solid waste, pesticides, radiation)"
47.084,Higher Education (includes Research)
47.084,Science and Technology
47.075,Science and Technology
47.075,Higher Education (includes Research)
47.076,Elementary/Secondary Education
47.076,Higher Education (includes Research)
47.076,Science and Technology
93.598,Health/Medical
93.598,Income Security/Social Service/Welfare
93.598,Training
93.598,Economic Development
93.598,Food and Nutrition
93.598,Housing
93.598,"Law, Justice, and Legal Services"
93.598,Vocational Education
93.598,Vocational Rehabilitation
93.598,Youth Development
14.896,Housing
14.872,Housing
93.327,Income Security/Social Service/Welfare
93.327,Training
11.112,International (includes Export/lmport)
90.404,Science and Technology
90.404,Training
90.404,Communications
66.609,"Environment (water, air, solid waste, pesticides, radiation)"
15.945,Training
15.946,Construction/Renewal/Rehabilitation
20.938,Transportation
20.611,Transportation
20.218,Transportation
20.600,Transportation
20.934,Transportation
66.805,"Environment (water, air, solid waste, pesticides, radiation)"
20.113,Training
66.466,Agriculture/Forestry/Fish and Game
66.466,Economic Development
66.466,"Environment (water, air, solid waste, pesticides, radiation)"
66.466,Maritime
66.466,Public Works
66.466,Recreation (includes Historic Preservation)
66.466,Science and Technology
66.469,Agriculture/Forestry/Fish and Game
66.469,"Environment (water, air, solid waste, pesticides, radiation)"
66.469,Science and Technology
12.012,Agriculture/Forestry/Fish and Game
12.012,"Environment (water, air, solid waste, pesticides, radiation)"
12.012,Recreation (includes Historic Preservation)
66.605,"Environment (water, air, solid waste, pesticides, radiation)"
10.870,Economic Development
10.870,Business/Commerce
10.870,Training
66.124,"Environment (water, air, solid waste, pesticides, radiation)"
66.484,"Environment (water, air, solid waste, pesticides, radiation)"
66.475,"Environment (water, air, solid waste, pesticides, radiation)"
64.031,No Functional Application/Unlimited Application
10.089,Agriculture/Forestry/Fish and Game
10.326,Higher Education (includes Research)
10.326,Agriculture/Forestry/Fish and Game
10.520,Employment/Labor/Management
10.520,Agriculture/Forestry/Fish and Game
10.524,Higher Education (includes Research)
10.135,Agriculture/Forestry/Fish and Game
10.030,Agriculture/Forestry/Fish and Game
10.771,Economic Development
45.309,Culture/Arts/Humanities
45.309,Recreation (includes Historic Preservation)
45.309,Training
10.205,Higher Education (includes Research)
10.313,Agriculture/Forestry/Fish and Game
10.620,Food and Nutrition
10.001,Libraries/lnformation/Statistics
10.380,Food and Nutrition
10.380,Transportation
14.879,Housing
10.310,Higher Education (includes Research)
10.310,Agriculture/Forestry/Fish and Game
10.310,Science and Technology
45.313,Higher Education (includes Research)
45.313,Libraries/lnformation/Statistics
45.313,Culture/Arts/Humanities
45.313,Planning
45.313,Training
10.516,Elementary/Secondary Education
10.516,Health/Medical
10.516,Higher Education (includes Research)
10.516,Agriculture/Forestry/Fish and Game
10.516,Science and Technology
10.516,Training
10.516,Community Development (includes Federal surplus property)
10.382,Construction/Renewal/Rehabilitation
10.382,Food and Nutrition
93.563,Income Security/Social Service/Welfare
10.965,Agriculture/Forestry/Fish and Game
10.230,Libraries/lnformation/Statistics
10.241,Regional Development
10.132,Agriculture/Forestry/Fish and Game
10.755,Business/Commerce
10.755,Community Development (includes Federal surplus property)
10.755,Construction/Renewal/Rehabilitation
10.755,Employment/Labor/Management
10.755,Regional Development
10.028,Agriculture/Forestry/Fish and Game
10.028,"Natural Resources (mineral, water, wildlife, land)"
10.517,Higher Education (includes Research)
10.238,Regional Development
10.053,"Environment (water, air, solid waste, pesticides, radiation)"
10.053,Agriculture/Forestry/Fish and Game
45.312,Culture/Arts/Humanities
45.312,Higher Education (includes Research)
45.312,Libraries/lnformation/Statistics
45.312,Planning
45.312,Science and Technology
45.312,Training
45.312,Recreation (includes Historic Preservation)
10.352,Energy
10.352,Agriculture/Forestry/Fish and Game
10.352,Business/Commerce
10.700,Agriculture/Forestry/Fish and Game
10.700,Libraries/lnformation/Statistics
10.334,Agriculture/Forestry/Fish and Game
10.527,Higher Education (includes Research)
10.872,Business/Commerce
10.872,Community Development (includes Federal surplus property)
10.872,Economic Development
10.872,Energy
10.872,Food and Nutrition
10.872,Planning
10.868,Energy
10.868,Agriculture/Forestry/Fish and Game
10.860,Agriculture/Forestry/Fish and Game
10.860,Business/Commerce
10.860,Community Development (includes Federal surplus property)
10.860,Economic Development
