data.programNumber,value
84.250,Federally Recognized lndian Tribal Governments
84.250,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
15.550,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
12.579,"State (includes District of Columbia, public institutions of higher education and hospitals)"
12.579,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
12.579,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
12.579,Other private institutions/organizations
84.268,Individual/Family
84.326,"State (includes District of Columbia, public institutions of higher education and hospitals)"
84.326,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
84.326,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
84.326,Profit organization
84.326,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
84.013,"State (includes District of Columbia, public institutions of higher education and hospitals)"
81.255,State
81.255,"State (includes District of Columbia, public institutions of higher education and hospitals)"
81.255,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
81.255,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
81.255,Profit organization
81.255,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
81.255,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
81.255,Other public institution/organization
84.373,"State (includes District of Columbia, public institutions of higher education and hospitals)"
93.233,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
93.233,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
93.233,Individual/Family
93.233,Small business (less than 500 employees)
93.233,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
84.044,"State (includes District of Columbia, public institutions of higher education and hospitals)"
84.044,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
84.044,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
84.044,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
93.173,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
93.173,Other public institution/organization
93.173,"Specialized group (e.g. health professionals, students, veterans)"
93.173,Profit organization
93.173,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
93.173,Other private institutions/organizations
84.063,Individual/Family
84.063,"Specialized group (e.g. health professionals, students, veterans)"
84.004,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
84.004,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
84.004,Other public institution/organization
84.004,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
84.004,Quasi-public nonprofit institution/organization
84.004,Non-Government - General
84.263,"State (includes District of Columbia, public institutions of higher education and hospitals)"
84.263,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
84.411,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
84.411,Other public institution/organization
15.075,Federally Recognized lndian Tribal Governments
12.551,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
84.365,"State (includes District of Columbia, public institutions of higher education and hospitals)"
84.365,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
84.246,"State (includes District of Columbia, public institutions of higher education and hospitals)"
84.246,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
84.246,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.250,Federally Recognized lndian Tribal Governments
15.250,State
93.121,Government - General
93.121,Interstate
93.121,Intrastate
93.121,"State (includes District of Columbia, public institutions of higher education and hospitals)"
93.121,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
93.121,Sponsored organization
93.121,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
93.121,Other public institution/organization
93.121,Federally Recognized lndian Tribal Governments
93.121,U.S. Territories and possessions
93.121,U.S. Territories and possessions (includes institutions of higher education and hospitals)
93.121,Non-Government - General
93.121,"Specialized group (e.g. health professionals, students, veterans)"
93.121,Small business (less than 500 employees)
93.121,Profit organization
93.121,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
93.121,Other private institutions/organizations
93.121,State
93.121,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
84.310,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
84.310,Other public institution/organization
84.310,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
93.879,"State (includes District of Columbia, public institutions of higher education and hospitals)"
93.879,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
93.879,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
93.879,Federally Recognized lndian Tribal Governments
93.879,U.S. Territories and possessions
93.879,U.S. Territories and possessions (includes institutions of higher education and hospitals)
93.879,Small business (less than 500 employees)
93.879,Profit organization
93.879,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
93.879,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
81.104,"State (includes District of Columbia, public institutions of higher education and hospitals)"
81.104,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
81.104,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
81.104,Other public institution/organization
81.104,Federally Recognized lndian Tribal Governments
81.104,U.S. Territories and possessions (includes institutions of higher education and hospitals)
81.104,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
81.136,Government - General
81.136,"State (includes District of Columbia, public institutions of higher education and hospitals)"
81.136,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
81.136,Sponsored organization
81.136,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
81.136,Other public institution/organization
81.136,Federally Recognized lndian Tribal Governments
81.136,U.S. Territories and possessions (includes institutions of higher education and hospitals)
81.136,Profit organization
81.136,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
12.404,U.S. Territories and possessions
12.404,State
12.020,U.S. Territories and possessions
12.020,State
14.128,Profit organization
14.128,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
19.013,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
19.013,Other public institution/organization
19.013,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
19.013,Quasi-public nonprofit institution/organization
19.500,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
19.500,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
19.500,Other public institution/organization
19.500,Small business (less than 500 employees)
19.500,Profit organization
19.500,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
19.500,Quasi-public nonprofit institution/organization
19.500,Other private institutions/organizations
12.225,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
14.138,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
14.138,"Specialized group (e.g. health professionals, students, veterans)"
14.138,Profit organization
14.138,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
14.122,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
14.122,Sponsored organization
14.122,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
14.122,Other public institution/organization
14.122,Non-Government - General
14.122,Individual/Family
14.122,Profit organization
14.122,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
14.122,Other private institutions/organizations
14.122,State
14.122,Anyone/general public
14.135,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
14.135,Individual/Family
14.135,Profit organization
14.135,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
19.020,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
19.020,Other public institution/organization
19.020,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
19.020,Quasi-public nonprofit institution/organization
14.322,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
14.322,Profit organization
14.322,Small business (less than 500 employees)
14.195,Profit organization
66.436,Interstate
66.436,State
66.436,"State (includes District of Columbia, public institutions of higher education and hospitals)"
66.436,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
66.436,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
66.436,Federally Recognized lndian Tribal Governments
66.436,U.S. Territories and possessions (includes institutions of higher education and hospitals)
66.436,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
66.436,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
66.487,Interstate
66.487,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
66.487,Federally Recognized lndian Tribal Governments
66.487,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
81.140,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
66.462,Interstate
66.462,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
66.462,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
66.462,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
66.485,State
19.600,"State (includes District of Columbia, public institutions of higher education and hospitals)"
19.600,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
19.600,Sponsored organization
19.600,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
19.600,Other public institution/organization
19.600,Federally Recognized lndian Tribal Governments
19.600,U.S. Territories and possessions (includes institutions of higher education and hospitals)
19.600,Non-Government - General
19.600,Small business (less than 500 employees)
19.600,Profit organization
19.600,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
19.600,Quasi-public nonprofit institution/organization
19.600,Other private institutions/organizations
19.600,State
14.162,Individual/Family
19.900,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
19.900,Other public institution/organization
19.900,Non-Government - General
19.900,Individual/Family
19.900,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
14.129,"Specialized group (e.g. health professionals, students, veterans)"
14.129,Profit organization
14.129,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
14.129,Other private institutions/organizations
14.311,Federal
14.311,"State (includes District of Columbia, public institutions of higher education and hospitals)"
14.311,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
14.311,Individual/Family
14.311,Anyone/general public
14.155,Anyone/general public
14.316,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
14.316,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
19.036,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
19.036,Other public institution/organization
19.036,Non-Government - General
19.036,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
19.036,Quasi-public nonprofit institution/organization
19.036,Other private institutions/organizations
19.601,"State (includes District of Columbia, public institutions of higher education and hospitals)"
19.601,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
19.601,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
19.601,Other public institution/organization
19.601,U.S. Territories and possessions (includes institutions of higher education and hospitals)
19.601,Non-Government - General
19.601,Small business (less than 500 employees)
19.601,Profit organization
19.601,Quasi-public nonprofit institution/organization
19.601,Other private institutions/organizations
19.221,Interstate
19.221,"State (includes District of Columbia, public institutions of higher education and hospitals)"
19.221,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
19.221,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
19.221,Other public institution/organization
19.221,Profit organization
19.221,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
19.221,Quasi-public nonprofit institution/organization
19.221,Other private institutions/organizations
66.442,U.S. Territories and possessions
66.442,State
66.442,Federally Recognized lndian Tribal Governments
66.442,Other public institution/organization
16.045,Government - General
16.045,State
16.045,"State (includes District of Columbia, public institutions of higher education and hospitals)"
16.045,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
16.045,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
16.045,Other public institution/organization
16.045,Federally Recognized lndian Tribal Governments
16.045,U.S. Territories and possessions (includes institutions of higher education and hospitals)
16.045,Non-Government - General
16.045,Small business (less than 500 employees)
16.045,Profit organization
16.045,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
16.045,Quasi-public nonprofit institution/organization
16.045,Other private institutions/organizations
16.045,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
16.734,"State (includes District of Columbia, public institutions of higher education and hospitals)"
16.734,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
16.734,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
16.734,Federally Recognized lndian Tribal Governments
16.734,U.S. Territories and possessions (includes institutions of higher education and hospitals)
16.734,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
16.753,Federal
16.753,"State (includes District of Columbia, public institutions of higher education and hospitals)"
16.753,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
16.753,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
16.753,Other public institution/organization
16.753,Federally Recognized lndian Tribal Governments
16.753,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
16.739,"State (includes District of Columbia, public institutions of higher education and hospitals)"
16.739,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
16.739,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
16.739,Individual/Family
16.739,Profit organization
16.739,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
16.051,"State (includes District of Columbia, public institutions of higher education and hospitals)"
16.051,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
16.051,U.S. Territories and possessions (includes institutions of higher education and hospitals)
81.252,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
81.252,Other public institution/organization
81.252,Federally Recognized lndian Tribal Governments
81.252,Small business (less than 500 employees)
81.252,Profit organization
81.252,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
81.252,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
16.034,State
16.034,Federally Recognized lndian Tribal Governments
16.034,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
16.607,"State (includes District of Columbia, public institutions of higher education and hospitals)"
16.607,Federally Recognized lndian Tribal Governments
16.607,U.S. Territories and possessions
16.607,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.544,State
16.835,Interstate
16.835,Intrastate
16.835,"State (includes District of Columbia, public institutions of higher education and hospitals)"
16.835,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
16.835,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
16.835,Other public institution/organization
16.835,Federally Recognized lndian Tribal Governments
16.835,U.S. Territories and possessions (includes institutions of higher education and hospitals)
16.835,Profit organization
16.835,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
16.835,Quasi-public nonprofit institution/organization
16.835,Other private institutions/organizations
16.835,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
16.741,Interstate
16.741,Intrastate
16.741,"State (includes District of Columbia, public institutions of higher education and hospitals)"
16.741,U.S. Territories and possessions
16.741,State
16.745,"State (includes District of Columbia, public institutions of higher education and hospitals)"
16.745,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
16.745,Federally Recognized lndian Tribal Governments
16.745,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
16.838,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
16.838,Federally Recognized lndian Tribal Governments
16.838,U.S. Territories and possessions
16.838,State
15.225,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.225,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.225,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.225,Other public institution/organization
15.225,Federally Recognized lndian Tribal Governments
15.225,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.225,Quasi-public nonprofit institution/organization
15.225,Other private institutions/organizations
15.225,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
16.813,"State (includes District of Columbia, public institutions of higher education and hospitals)"
16.813,U.S. Territories and possessions (includes institutions of higher education and hospitals)
16.813,Federally Recognized lndian Tribal Governments
15.234,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.234,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.234,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.234,Other public institution/organization
15.234,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.234,Other private institutions/organizations
15.248,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.248,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.248,Other public institution/organization
15.248,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.248,Other private institutions/organizations
15.248,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
15.248,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.248,Federally Recognized lndian Tribal Governments
15.248,Sponsored organization
16.746,"State (includes District of Columbia, public institutions of higher education and hospitals)"
16.746,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
16.746,U.S. Territories and possessions (includes institutions of higher education and hospitals)
16.746,Non-Government - General
15.539,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.539,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.560,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.560,State
16.047,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
16.047,Minority group
16.047,"Specialized group (e.g. health professionals, students, veterans)"
16.047,Profit organization
16.047,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
16.047,Quasi-public nonprofit institution/organization
16.047,Other private institutions/organizations
16.047,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
16.844,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
16.844,Profit organization
16.844,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
16.844,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
16.554,"State (includes District of Columbia, public institutions of higher education and hospitals)"
16.554,Federally Recognized lndian Tribal Governments
15.239,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.214,Federal
15.214,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.214,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
90.400,"State (includes District of Columbia, public institutions of higher education and hospitals)"
90.400,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
47.041,Federal
47.041,"State (includes District of Columbia, public institutions of higher education and hospitals)"
47.041,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
47.041,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
47.041,Small business (less than 500 employees)
47.041,Profit organization
47.041,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
47.041,State
47.041,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
15.631,Federally Recognized lndian Tribal Governments
15.631,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.631,Profit organization
15.631,Individual/Family
15.631,Anyone/general public
15.631,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.631,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.631,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
47.079,Federal
47.079,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
47.079,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
47.079,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
47.079,State
47.074,Federal
47.074,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
47.074,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
47.074,"Specialized group (e.g. health professionals, students, veterans)"
47.074,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
47.074,Quasi-public nonprofit institution/organization
47.074,State
47.050,Federal
47.050,"State (includes District of Columbia, public institutions of higher education and hospitals)"
47.050,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
47.050,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
47.050,Individual/Family
47.050,"Specialized group (e.g. health professionals, students, veterans)"
47.050,Small business (less than 500 employees)
47.050,Profit organization
47.050,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
47.050,State
47.050,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
66.461,U.S. Territories and possessions
66.461,Interstate
66.461,State
66.461,"State (includes District of Columbia, public institutions of higher education and hospitals)"
66.461,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
66.461,Federally Recognized lndian Tribal Governments
66.461,U.S. Territories and possessions (includes institutions of higher education and hospitals)
66.461,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
81.065,Interstate
81.065,"State (includes District of Columbia, public institutions of higher education and hospitals)"
81.065,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
81.065,Federally Recognized lndian Tribal Governments
81.102,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
81.108,Federal
81.108,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
81.108,U.S. Territories and possessions
81.108,Small business (less than 500 employees)
81.108,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
81.092,State
66.489,State
66.489,Other public institution/organization
47.083,Federal
47.083,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
47.083,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
47.083,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
47.083,State
47.078,Federal
47.078,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
47.078,Other public institution/organization
47.078,Profit organization
47.078,Other private institutions/organizations
47.078,State
47.049,Federal
47.049,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
47.049,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
47.049,Individual/Family
47.049,"Specialized group (e.g. health professionals, students, veterans)"
47.049,Small business (less than 500 employees)
47.049,Profit organization
47.049,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
47.049,State
47.049,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
47.070,Federal
47.070,"State (includes District of Columbia, public institutions of higher education and hospitals)"
47.070,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
47.070,Small business (less than 500 employees)
47.070,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
93.378,Intrastate
93.378,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
93.378,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
93.378,Other public institution/organization
93.378,Federally Recognized lndian Tribal Governments
93.378,Minority group
93.378,"Specialized group (e.g. health professionals, students, veterans)"
93.378,Small business (less than 500 employees)
93.378,Profit organization
93.378,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
93.378,Quasi-public nonprofit institution/organization
93.378,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
81.113,"State (includes District of Columbia, public institutions of higher education and hospitals)"
81.113,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
81.113,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
93.687,U.S. Territories and possessions
93.687,State
93.303,Individual/Family
93.303,"Specialized group (e.g. health professionals, students, veterans)"
93.342,"State (includes District of Columbia, public institutions of higher education and hospitals)"
93.342,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
93.342,Federally Recognized lndian Tribal Governments
93.342,U.S. Territories and possessions (includes institutions of higher education and hospitals)
93.342,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
93.250,"Specialized group (e.g. health professionals, students, veterans)"
93.288,Individual/Family
93.288,"Specialized group (e.g. health professionals, students, veterans)"
93.914,"State (includes District of Columbia, public institutions of higher education and hospitals)"
93.914,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
93.914,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
93.914,Other public institution/organization
93.914,Federally Recognized lndian Tribal Governments
93.914,U.S. Territories and possessions (includes institutions of higher education and hospitals)
93.914,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
93.932,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
93.932,Minority group
93.932,"Specialized group (e.g. health professionals, students, veterans)"
10.606,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
10.606,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
10.606,Other private institutions/organizations
10.606,"State (includes District of Columbia, public institutions of higher education and hospitals)"
10.606,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
10.606,"Specialized group (e.g. health professionals, students, veterans)"
10.606,Quasi-public nonprofit institution/organization
16.320,"State (includes District of Columbia, public institutions of higher education and hospitals)"
16.320,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
16.320,Federally Recognized lndian Tribal Governments
16.320,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
16.543,"State (includes District of Columbia, public institutions of higher education and hospitals)"
16.543,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
16.543,Federally Recognized lndian Tribal Governments
16.543,Individual/Family
16.543,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
16.543,Quasi-public nonprofit institution/organization
16.035,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
16.035,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
16.035,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
16.834,Government - General
16.834,U.S. Territories and possessions
10.613,"State (includes District of Columbia, public institutions of higher education and hospitals)"
10.613,U.S. Territories and possessions (includes institutions of higher education and hospitals)
10.613,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
16.756,Other public institution/organization
16.756,Other private institutions/organizations
16.582,"State (includes District of Columbia, public institutions of higher education and hospitals)"
16.582,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
16.582,Other public institution/organization
16.582,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
16.582,Other private institutions/organizations
16.582,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
20.109,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
10.138,Federally Recognized lndian Tribal Governments
10.138,Individual/Family
10.138,Profit organization
16.830,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
16.830,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
16.830,Other public institution/organization
16.830,Federally Recognized lndian Tribal Governments
16.830,Profit organization
16.830,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
16.830,Quasi-public nonprofit institution/organization
16.830,Other private institutions/organizations
16.726,"State (includes District of Columbia, public institutions of higher education and hospitals)"
16.726,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
16.726,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
16.726,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
10.752,State
10.752,U.S. Territories and possessions
10.752,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
10.752,Federally Recognized lndian Tribal Governments
10.752,Profit organization
10.752,Small business (less than 500 employees)
10.886,"State (includes District of Columbia, public institutions of higher education and hospitals)"
10.886,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
10.886,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
10.886,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
10.855,"State (includes District of Columbia, public institutions of higher education and hospitals)"
10.855,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
10.855,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
10.855,Other public institution/organization
10.855,U.S. Territories and possessions (includes institutions of higher education and hospitals)
10.855,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
10.863,"State (includes District of Columbia, public institutions of higher education and hospitals)"
10.863,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
10.863,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
10.450,Individual/Family
10.450,"Specialized group (e.g. health professionals, students, veterans)"
66.445,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
66.445,Other public institution/organization
66.445,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
66.486,U.S. Territories and possessions
66.486,State
66.486,Federally Recognized lndian Tribal Governments
97.027,Government - General
97.027,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
97.028,"State (includes District of Columbia, public institutions of higher education and hospitals)"
97.028,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
