data.programNumber,value_beneficiary
20.500,Federally Recognized Indian Tribal Governments
10.928,U.S. Territories
10.928,Anyone/general public
10.928,Homeowner
10.928,Land/Property Owner
10.928,State
10.928,Local
10.928,Sponsored organization
10.928,Public nonprofit institution/organization
10.928,Federally Recognized Indian Tribal Governments
10.531,Public nonprofit institution/organization
10.531,Other public institution/organization
10.531,Private nonprofit institution/organization
10.531,Other private institution/organization
93.193,Other Urban
93.210,"Specialized group (e.g. health professionals, students, veterans)"
93.210,Native American Organizations
93.210,American Indian
93.210,Federally Recognized Indian Tribal Governments
93.313,Federal
93.313,Profit organization
93.313,Scientist/Researchers
93.313,State
93.313,Public nonprofit institution/organization
93.313,Other public institution/organization
93.313,Federally Recognized Indian Tribal Governments
84.417,Profit organization
84.417,Private nonprofit institution/organization
84.417,Quasi-public nonprofit organization
84.417,Other private institution/organization
84.417,Public nonprofit institution/organization
84.417,Other public institution/organization
84.120,U.S. Territories
84.120,Minority group
84.120,"Specialized group (e.g. health professionals, students, veterans)"
84.120,Private nonprofit institution/organization
84.120,Native American Organizations
84.120,Student/Trainee
84.120,Scientist/Researchers
84.120,Black
84.120,American Indian
84.120,Spanish Origin
84.120,Asian
84.120,Other Non-White
84.120,Migrant
84.120,Sponsored organization
84.120,Education (13+)
84.120,Public nonprofit institution/organization
20.944,
93.576,Refugee/Alien
21.011,Private nonprofit institution/organization
21.011,Public nonprofit institution/organization
93.787,Child (6-15)
93.787,Youth (16-21)
93.787,Black
93.787,American Indian
93.787,Spanish Origin
93.787,Asian
93.787,Other Non-White
93.787,Juvenile Delinquent
93.235,Individual/Family
93.235,Student/Trainee
93.235,Women
93.235,School
93.235,Child (6-15)
93.235,Youth (16-21)
93.235,Black
93.235,American Indian
93.235,Spanish Origin
93.235,Asian
93.235,Other Non-White
93.235,Juvenile Delinquent
93.092,Individual/Family
93.092,Child (6-15)
93.092,Youth (16-21)
93.092,Education (0-8)
93.092,Education (9-12)
93.558,Individual/Family
93.594,American Indian
93.714,U.S. Territories
93.714,Individual/Family
93.714,State
93.714,Local
93.714,Low Income
93.714,Federally Recognized Indian Tribal Governments
10.905,Federal
10.905,U.S. Territories
10.905,"Specialized group (e.g. health professionals, students, veterans)"
10.905,State
10.905,Sponsored organization
93.971,American Indian
93.596,Individual/Family
93.596,Infant (0-5)
93.596,Child (6-15)
93.596,Low Income
10.228,Native American Organizations
10.228,State
10.228,Public nonprofit institution/organization
93.970,American Indian
10.310,Federal
10.310,Individual/Family
10.310,Profit organization
10.310,Quasi-public nonprofit organization
10.310,State
10.310,Public nonprofit institution/organization
93.623,Individual/Family
93.623,Child (6-15)
93.623,Youth (16-21)
10.230,State
10.230,Local
10.330,Individual/Family
10.330,Private nonprofit institution/organization
10.330,Public nonprofit institution/organization
10.330,Other public institution/organization
93.550,Youth (16-21)
10.232,Other public institution/organization
12.002,Small business
12.002,Profit organization
12.002,Native American Organizations
12.002,Small Business Person
12.002,Builder/Contractor/Developer
12.002,Industrialist/ Business person
12.002,Federally Recognized Indian Tribal Governments
15.243,
15.222,State
15.222,Federally Recognized Indian Tribal Governments
93.113,Federal
93.113,U.S. Territories
93.113,"Specialized group (e.g. health professionals, students, veterans)"
93.113,Small business
93.113,Profit organization
93.113,Private nonprofit institution/organization
93.113,Other private institution/organization
93.113,Native American Organizations
93.113,Education Professional
93.113,Student/Trainee
93.113,Graduate Student
93.113,Scientist/Researchers
93.113,State
93.113,Local
93.113,Sponsored organization
93.113,Public nonprofit institution/organization
93.113,Other public institution/organization
93.113,Federally Recognized Indian Tribal Governments
15.514,Federal
15.514,State
15.514,Local
15.514,Federally Recognized Indian Tribal Governments
15.514,Anyone/general public
93.853,U.S. Territories
93.853,Small business
93.853,Profit organization
93.853,Private nonprofit institution/organization
93.853,Quasi-public nonprofit organization
93.853,Other private institution/organization
93.853,Native American Organizations
93.853,Health Professional
93.853,Student/Trainee
93.853,Graduate Student
93.853,Scientist/Researchers
93.853,State
93.853,U.S. Citizen
93.853,Local
93.853,Public nonprofit institution/organization
93.853,Other public institution/organization
93.853,Federally Recognized Indian Tribal Governments
93.142,U.S. Territories
93.142,"Specialized group (e.g. health professionals, students, veterans)"
93.142,Small business
93.142,Profit organization
93.142,Private nonprofit institution/organization
93.142,Other private institution/organization
93.142,Native American Organizations
93.142,State
93.142,Local
93.142,Public nonprofit institution/organization
93.142,Other public institution/organization
93.662,U.S. Territories
93.662,Small business
93.662,Profit organization
93.662,Private nonprofit institution/organization
93.662,Quasi-public nonprofit organization
93.662,Other private institution/organization
93.662,Native American Organizations
93.662,State
93.662,Local
93.662,Public nonprofit institution/organization
93.662,Other public institution/organization
93.662,Federally Recognized Indian Tribal Governments
12.910,Private nonprofit institution/organization
12.910,Other private institution/organization
12.910,Public nonprofit institution/organization
12.910,Other public institution/organization
93.855,Individual/Family
93.855,Profit organization
93.855,Private nonprofit institution/organization
93.855,Student/Trainee
93.855,Scientist/Researchers
93.855,State
93.855,Local
93.855,Public nonprofit institution/organization
93.846,Individual/Family
93.846,Private nonprofit institution/organization
93.846,Health Professional
93.846,Student/Trainee
93.846,Graduate Student
93.846,Scientist/Researchers
93.846,U.S. Citizen
93.846,Public nonprofit institution/organization
15.244,
15.233,Anyone/general public
93.663,U.S. Territories
93.663,Small business
93.663,Profit organization
93.663,Private nonprofit institution/organization
93.663,Quasi-public nonprofit organization
93.663,Other private institution/organization
93.663,State
93.663,Local
93.663,Public nonprofit institution/organization
93.663,Other public institution/organization
93.663,Federally Recognized Indian Tribal Governments
15.542,Anyone/general public
64.203,Veteran/Service person/Reservist (including dependents
10.527,Graduate Student
10.527,Student/Trainee
10.527,American Indian
10.515,State
10.515,Public nonprofit institution/organization
10.515,Other public institution/organization
10.313,Individual/Family
10.970,
93.579,Individual/Family
93.579,State
93.579,U.S. Territories
10.518,Public nonprofit institution/organization
20.519,State
20.519,Local
93.991,Anyone/general public
84.141,Individual/Family
84.141,Student/Trainee
84.141,Migrant
84.141,Youth (16-21)
84.141,Education (9-12)
84.141,Education (13+)
93.270,Individual/Family
93.270,Anyone/general public
93.270,State
93.270,Local
93.270,Public nonprofit institution/organization
93.270,Federally Recognized Indian Tribal Governments
93.326,Sponsored organization
20.534,
93.061,Federal
93.061,Profit organization
93.061,Private nonprofit institution/organization
93.061,Other private institution/organization
93.061,State
93.061,Local
93.061,Public nonprofit institution/organization
93.061,Other public institution/organization
20.223,Profit organization
20.223,State
20.223,Local
20.223,Other public institution/organization
20.223,Other private institution/organization
59.012,Small business
90.800,
20.527,U.S. Territories
20.527,"Specialized group (e.g. health professionals, students, veterans)"
20.527,Private nonprofit institution/organization
20.527,Quasi-public nonprofit organization
20.527,Other private institution/organization
20.527,State
20.527,Local
20.527,Sponsored organization
20.527,Public nonprofit institution/organization
20.527,Other public institution/organization
93.317,U.S. Territories
93.317,Anyone/general public
93.317,State
93.317,Local
93.082,Anyone/general public
93.978,Private nonprofit institution/organization
93.978,State
93.978,Local
93.978,Public nonprofit institution/organization
93.978,Health Professional
93.488,
93.947,Private nonprofit institution/organization
93.947,State
93.947,Local
93.947,Public nonprofit institution/organization
20.533,State
20.533,Local
59.006,Minority group
59.006,Small business
59.006,Black
59.006,American Indian
59.006,Spanish Origin
59.006,Asian
59.006,Other Non-White
93.850,Minority group
93.850,Anyone/general public
93.850,School
93.850,Child (6-15)
93.850,Education (0-8)
93.850,Education (13+)
19.979,Federal
19.979,State
19.979,Local
90.705,Anyone/general public
93.684,Federal
93.684,State
93.684,Local
19.989,
93.981,U.S. Territories
93.981,State
93.981,Federally Recognized Indian Tribal Governments
20.528,Interstate
20.528,Intrastate
20.528,State
93.066,Anyone/general public
20.522,State
20.522,Local
93.116,U.S. Territories
93.116,State
93.116,Local
20.720,U.S. Territories
20.720,State
93.834,U.S. Territories
93.834,State
93.834,Local
93.834,Public nonprofit institution/organization
93.834,Federally Recognized Indian Tribal Governments
93.348,Federal
93.348,State
93.348,Local
93.348,Sponsored organization
93.348,Other public institution/organization
93.348,Federally Recognized Indian Tribal Governments
93.348,U.S. Territories
93.348,Minority group
93.348,Small business
93.348,Profit organization
93.348,Private nonprofit institution/organization
93.348,Health Professional
93.348,Small Business Person
93.348,American Indian
93.348,Spanish Origin
93.348,School
93.348,Education (13+)
93.261,Anyone/general public
93.479,Native American Organizations
93.874,U.S. Territories
93.874,Individual/Family
93.874,State
93.874,Local
93.874,Public nonprofit institution/organization
84.196,Individual/Family
84.196,Student/Trainee
84.196,State
84.196,Local
84.196,Child (6-15)
84.196,Youth (16-21)
84.196,Low Income
84.196,Education (0-8)
84.196,Education (9-12)
15.230,Anyone/general public
93.307,"Specialized group (e.g. health professionals, students, veterans)"
93.172,U.S. Territories
93.172,Minority group
93.172,Small business
93.172,Profit organization
93.172,Private nonprofit institution/organization
93.172,Other private institution/organization
93.172,Native American Organizations
93.172,Health Professional
93.172,Education Professional
93.172,Student/Trainee
93.172,Graduate Student
93.172,Scientist/Researchers
93.172,Engineer/Architect
93.172,Small Business Person
93.172,Black
93.172,American Indian
93.172,Spanish Origin
93.172,Asian
93.172,Other Non-White
93.172,State
93.172,U.S. Citizen
93.172,Women
93.172,"Disabled (e.g. Deaf, Blind, Physically Disabled)"
93.172,"Physically Afflicted (e.g. TB, Arthritis, Heart Disease)"
93.172,Local
93.172,Sponsored organization
93.172,Education (13+)
93.172,Public nonprofit institution/organization
93.172,Other public institution/organization
93.172,Federally Recognized Indian Tribal Governments
15.545,Anyone/general public
15.545,Consumer
15.545,Local
15.237,Anyone/general public
15.232,
20.614,Intrastate
20.614,State
20.614,Local
20.614,Sponsored organization
20.614,Public nonprofit institution/organization
20.614,Other public institution/organization
93.143,U.S. Territories
93.143,"Specialized group (e.g. health professionals, students, veterans)"
93.143,Small business
93.143,Profit organization
93.143,Private nonprofit institution/organization
93.143,Other private institution/organization
93.143,Native American Organizations
93.143,State
93.143,Local
93.143,Public nonprofit institution/organization
93.143,Other public institution/organization
15.228,
15.015,
93.187,Individual/Family
93.187,Minority group
93.187,"Specialized group (e.g. health professionals, students, veterans)"
93.187,Anyone/general public
93.187,Student/Trainee
93.187,U.S. Citizen
93.187,Low Income
93.187,Education (13+)
20.940,
93.933,American Indian
93.933,Federally Recognized Indian Tribal Governments
93.791,State
20.505,State
84.382,U.S. Territories
84.382,Minority group
84.382,Native American Organizations
84.382,Education Professional
84.382,Student/Trainee
84.382,Black
84.382,American Indian
84.382,Spanish Origin
84.382,Local
84.382,School
84.382,Youth (16-21)
84.382,Education (13+)
84.382,Federally Recognized Indian Tribal Governments
20.516,Private nonprofit institution/organization
20.516,Quasi-public nonprofit organization
20.516,State
20.516,Local
20.516,Public nonprofit institution/organization
84.335,Individual/Family
84.335,Student/Trainee
84.335,Graduate Student
84.335,Low Income
84.335,Education (13+)
20.615,U.S. Territories
20.615,State
20.615,Federally Recognized Indian Tribal Governments
93.775,State
84.200,Private nonprofit institution/organization
84.200,Education Professional
84.200,Student/Trainee
84.200,Graduate Student
84.200,Scientist/Researchers
84.200,State
84.200,Education (13+)
84.200,Public nonprofit institution/organization
84.200,Other public institution/organization
15.553,Federal
15.553,State
15.553,Local
15.553,Federally Recognized Indian Tribal Governments
93.624,Federal
93.624,State
21.020,Profit organization
21.020,Private nonprofit institution/organization
21.020,Other private institution/organization
21.021,Profit organization
21.021,Private nonprofit institution/organization
21.021,Other private institution/organization
21.025,
21.012,Native American Organizations
84.031,Minority group
84.031,Private nonprofit institution/organization
84.031,Other private institution/organization
84.031,Native American Organizations
84.031,Black
84.031,American Indian
84.031,Asian
84.031,Public nonprofit institution/organization
84.031,Other public institution/organization
20.509,Private nonprofit institution/organization
20.509,Anyone/general public
20.509,State
20.509,Local
20.509,Public nonprofit institution/organization
20.507,Private nonprofit institution/organization
20.507,Quasi-public nonprofit organization
20.507,Other private institution/organization
20.507,Local
20.507,Public nonprofit institution/organization
20.507,State
20.507,Other public institution/organization
20.507,U.S. Territories
84.017,Individual/Family
84.017,Private nonprofit institution/organization
84.017,Education Professional
84.017,Student/Trainee
84.017,Graduate Student
84.017,Scientist/Researchers
84.017,Education (13+)
84.017,Public nonprofit institution/organization
84.017,Other public institution/organization
84.229,Private nonprofit institution/organization
84.229,Education Professional
84.229,Student/Trainee
84.229,Graduate Student
84.229,State
84.229,Local
84.229,Education (13+)
15.524,Anyone/general public
15.524,State
15.524,Local
93.382,American Indian
93.382,Native American Organizations
93.382,Federally Recognized Indian Tribal Governments
93.867,Federal
93.867,Small business
93.867,Profit organization
93.867,Private nonprofit institution/organization
93.867,Student/Trainee
93.867,Scientist/Researchers
93.867,State
93.867,U.S. Citizen
93.867,Local
93.867,Public nonprofit institution/organization
93.441,American Indian
84.274,Individual/Family
84.274,Private nonprofit institution/organization
84.274,Other private institution/organization
84.274,Scientist/Researchers
84.274,U.S. Citizen
84.274,Public nonprofit institution/organization
84.274,Other public institution/organization
84.016,Student/Trainee
84.016,Graduate Student
84.016,Youth (16-21)
84.016,Education (13+)
84.015,"Specialized group (e.g. health professionals, students, veterans)"
84.015,Profit organization
84.015,Private nonprofit institution/organization
84.015,Other private institution/organization
84.015,Education Professional
84.015,Student/Trainee
84.015,Graduate Student
84.015,U.S. Citizen
84.015,Refugee/Alien
84.015,Youth (16-21)
84.015,Education (13+)
84.015,Other public institution/organization
20.701,Private nonprofit institution/organization
20.701,Public nonprofit institution/organization
20.945,
93.123,American Indian
93.123,Other Non-White
93.237,Native American Organizations
93.237,American Indian
93.237,Local
93.237,Federally Recognized Indian Tribal Governments
93.767,U.S. Territories
93.767,Individual/Family
93.767,State
93.767,Low Income
93.653,
93.383,American Indian
93.383,Individual/Family
93.383,Federally Recognized Indian Tribal Governments
10.332,
93.231,Minority group
93.231,Native American Organizations
93.231,American Indian
93.231,Federally Recognized Indian Tribal Governments
93.858,Anyone/general public
93.858,Native American Organizations
93.858,Public nonprofit institution/organization
93.858,Other public institution/organization
93.946,Federal
93.946,U.S. Territories
93.946,Private nonprofit institution/organization
93.946,Other private institution/organization
93.946,State
93.946,Local
93.967,Federal
93.967,U.S. Territories
93.967,Individual/Family
93.967,Minority group
93.967,"Specialized group (e.g. health professionals, students, veterans)"
93.967,Small business
93.967,Profit organization
93.967,Private nonprofit institution/organization
93.967,Quasi-public nonprofit organization
93.967,Other private institution/organization
93.967,Anyone/general public
93.967,Interstate
93.967,Native American Organizations
93.967,Health Professional
93.967,Education Professional
93.967,Student/Trainee
93.967,Graduate Student
93.967,Scientist/Researchers
93.967,Artist/Humanist
93.967,Engineer/Architect
93.967,Builder/Contractor/Developer
93.967,Farmer/Rancher/Agriculture Producer
93.967,Intrastate
93.967,Industrialist/ Business person
93.967,Small Business Person
93.967,Consumer
93.967,Homeowner
93.967,Land/Property Owner
93.967,Black
93.967,American Indian
93.967,Spanish Origin
93.967,Asian
93.967,Other Non-White
93.967,State
93.967,U.S. Citizen
93.967,Veteran/Service person/Reservist (including dependents
93.967,Women
93.967,"Disabled (e.g. Deaf, Blind, Physically Disabled)"
93.967,"Physically Afflicted (e.g. TB, Arthritis, Heart Disease)"
93.967,Mentally Disabled
93.967,Local
93.967,Sponsored organization
93.967,Education (13+)
93.967,Public nonprofit institution/organization
93.967,Other public institution/organization
93.967,Federally Recognized Indian Tribal Governments
93.319,Individual/Family
93.319,Rural
93.944,State
84.144,Individual/Family
84.144,Interstate
84.144,Student/Trainee
84.144,Intrastate
84.144,State
84.144,Migrant
84.144,Local
84.144,School
84.144,Child (6-15)
84.144,Youth (16-21)
84.144,Education (0-8)
84.144,Education (9-12)
93.832,Anyone/general public
93.084,Anyone/general public
93.422,Anyone/general public
93.318,Federal
93.318,Interstate
93.318,State
93.318,Local
20.525,Federal
20.525,U.S. Territories
20.525,Interstate
20.525,Intrastate
20.525,State
20.525,Local
20.525,Other public institution/organization
84.021,Individual/Family
84.021,Education Professional
84.021,Student/Trainee
84.021,Graduate Student
84.021,State
84.021,U.S. Citizen
84.021,Education (13+)
93.377,Federal
93.377,State
93.377,Local
93.377,U.S. Territories
93.377,Minority group
20.532,
19.222,Small business
19.222,Profit organization
19.222,Private nonprofit institution/organization
19.222,Public nonprofit institution/organization
19.222,Other public institution/organization
93.083,Anyone/general public
93.068,Anyone/general public
19.223,Public nonprofit institution/organization
19.223,Other public institution/organization
19.223,"Specialized group (e.g. health professionals, students, veterans)"
19.223,Profit organization
19.223,Private nonprofit institution/organization
19.223,Quasi-public nonprofit organization
19.223,Other private institution/organization
20.514,Private nonprofit institution/organization
20.514,State
20.514,Local
93.860,Anyone/general public
93.860,Health Professional
20.936,
93.336,U.S. Territories
93.336,Anyone/general public
93.336,Education Professional
93.336,Scientist/Researchers
93.336,State
93.336,Local
19.706,Public nonprofit institution/organization
19.706,Other public institution/organization
19.706,"Specialized group (e.g. health professionals, students, veterans)"
19.706,Profit organization
19.706,Small business
19.706,Private nonprofit institution/organization
19.706,Quasi-public nonprofit organization
19.706,Other private institution/organization
20.706,
93.659,"Specialized group (e.g. health professionals, students, veterans)"
93.659,Infant (0-5)
93.659,Child (6-15)
93.659,Youth (16-21)
93.652,Individual/Family
93.652,Infant (0-5)
93.652,Child (6-15)
93.652,Youth (16-21)
93.605,Individual/Family
93.605,"Specialized group (e.g. health professionals, students, veterans)"
93.605,Infant (0-5)
93.605,Child (6-15)
93.605,Youth (16-21)
93.658,"Specialized group (e.g. health professionals, students, veterans)"
93.658,Infant (0-5)
93.658,Child (6-15)
93.658,Youth (16-21)
93.599,Youth (16-21)
93.586,Individual/Family
93.471,Individual/Family
93.090,Individual/Family
93.090,Infant (0-5)
93.090,Child (6-15)
93.090,Youth (16-21)
93.648,Individual/Family
93.648,Infant (0-5)
93.648,Child (6-15)
93.648,Youth (16-21)
93.796,State
93.796,Low Income
10.975,Farmer/Rancher/Agriculture Producer
64.202,Individual/Family
10.112,Farmer/Rancher/Agriculture Producer
10.112,Small Business Person
10.112,School
84.161,"Specialized group (e.g. health professionals, students, veterans)"
84.161,State
84.161,"Disabled (e.g. Deaf, Blind, Physically Disabled)"
93.394,Small business
93.394,Profit organization
93.394,Private nonprofit institution/organization
93.394,Health Professional
93.394,Scientist/Researchers
93.394,Public nonprofit institution/organization
93.394,Other public institution/organization
64.205,
84.334,Individual/Family
84.334,Minority group
84.334,Anyone/general public
84.334,Student/Trainee
84.334,Black
84.334,American Indian
84.334,Spanish Origin
84.334,Asian
84.334,Other Non-White
84.334,U.S. Citizen
84.334,Women
84.334,Youth (16-21)
84.334,Low Income
84.334,Education (9-12)
84.334,Education (13+)
15.531,Individual/Family
15.531,Anyone/general public
15.531,Intrastate
15.531,Local
15.531,Federally Recognized Indian Tribal Governments
15.512,Anyone/general public
66.460,Interstate
66.460,Intrastate
66.460,State
66.460,Local
66.460,Public nonprofit institution/organization
66.460,Federally Recognized Indian Tribal Governments
66.460,U.S. Territories
66.460,Private nonprofit institution/organization
64.126,Veteran/Service person/Reservist (including dependents
93.353,Federal
93.398,Private nonprofit institution/organization
93.398,U.S. Citizen
93.398,Public nonprofit institution/organization
20.941,
20.816,U.S. Territories
20.816,Interstate
20.816,Intrastate
20.816,State
20.816,Local
20.816,"Major Metropolis (over 250,000)"
20.816,Other Urban
20.816,Suburban
20.816,Rural
20.816,Public nonprofit institution/organization
20.816,Other public institution/organization
20.816,Federally Recognized Indian Tribal Governments
20.817,Federal
20.817,Anyone/general public
20.115,
20.812,Industrialist/ Business person
20.812,U.S. Citizen
20.814,Small business
20.814,State
20.814,Local
20.808,Individual/Family
20.808,Profit organization
20.808,U.S. Citizen
20.803,"Specialized group (e.g. health professionals, students, veterans)"
20.803,Industrialist/ Business person
84.415,Education Professional
84.415,American Indian
84.415,School
84.415,Education (0-8)
84.415,Education (9-12)
84.101,Other private institution/organization
84.101,American Indian
84.101,Federally Recognized Indian Tribal Governments
20.821,Individual/Family
20.821,Student/Trainee
20.821,Women
20.818,Federal
20.818,Anyone/general public
20.930,State
20.930,Local
20.822,U.S. Territories
20.819,Private nonprofit institution/organization
20.819,Education Professional
20.819,State
20.819,Public nonprofit institution/organization
20.819,Other public institution/organization
84.299,Minority group
84.299,Education Professional
84.299,Student/Trainee
84.299,American Indian
84.299,Local
84.299,School
84.299,Child (6-15)
84.299,Youth (16-21)
84.299,Education (0-8)
84.299,Education (9-12)
84.299,Education (13+)
84.048,Individual/Family
84.048,Education Professional
84.048,Student/Trainee
84.048,State
84.048,Local
84.048,School
84.048,Child (6-15)
84.048,Youth (16-21)
84.048,Education (9-12)
84.371,Education Professional
84.371,Preschool
84.371,School
84.371,Infant (0-5)
84.371,Child (6-15)
84.371,Youth (16-21)
84.371,Education (0-8)
84.371,Education (9-12)
84.245,Native American Organizations
84.245,Student/Trainee
84.245,American Indian
84.245,Youth (16-21)
84.245,Education (13+)
84.245,Federally Recognized Indian Tribal Governments
20.813,Profit organization
20.813,Industrialist/ Business person
20.807,"Specialized group (e.g. health professionals, students, veterans)"
20.807,Student/Trainee
20.807,U.S. Citizen
20.807,Youth (16-21)
84.356,Minority group
84.356,"Specialized group (e.g. health professionals, students, veterans)"
20.823,
84.060,Minority group
84.060,Education Professional
84.060,Student/Trainee
84.060,American Indian
84.060,Local
84.060,School
84.060,Child (6-15)
84.060,Youth (16-21)
84.060,Education (0-8)
84.060,Education (9-12)
84.060,Education (13+)
84.215,Private nonprofit institution/organization
84.215,Education Professional
84.215,Student/Trainee
84.215,State
84.215,Local
84.215,Child (6-15)
84.215,Youth (16-21)
84.215,Education (0-8)
84.215,Education (9-12)
84.215,Education (13+)
84.215,Public nonprofit institution/organization
84.215,Other public institution/organization
32.004,Local
32.004,Other public institution/organization
87.002,U.S. Territories
87.002,State
87.002,Local
84.295,Individual/Family
84.295,Anyone/general public
84.351,Education Professional
84.351,Student/Trainee
84.351,Artist/Humanist
84.351,School
84.351,Child (6-15)
84.351,Education (0-8)
84.351,Education (9-12)
84.051,Individual/Family
84.051,Education Professional
84.051,Student/Trainee
84.051,State
84.051,Local
84.051,School
84.051,Child (6-15)
84.051,Youth (16-21)
84.051,Education (9-12)
84.051,Education (13+)
20.825,
20.824,
84.362,Other Non-White
84.362,Local
84.362,School
84.362,Child (6-15)
84.362,Youth (16-21)
84.362,Education (0-8)
84.362,Education (9-12)
84.259,Individual/Family
84.259,Student/Trainee
84.259,School
84.259,Youth (16-21)
84.259,Education (9-12)
15.530,Small business
15.530,Private nonprofit institution/organization
15.530,Native American Organizations
15.530,State
15.530,Local
15.530,Public nonprofit institution/organization
15.530,Anyone/general public
15.530,Federal
14.175,Individual/Family
12.987,Private nonprofit institution/organization
12.987,State
12.987,Local
14.198,"Specialized group (e.g. health professionals, students, veterans)"
14.198,Anyone/general public
81.122,
17.150,Individual/Family
17.268,State
17.268,Local
17.268,Public nonprofit institution/organization
17.268,Other public institution/organization
17.268,Federally Recognized Indian Tribal Governments
17.268,U.S. Territories
17.268,Individual/Family
17.268,Minority group
17.268,"Specialized group (e.g. health professionals, students, veterans)"
17.268,Small business
17.268,Profit organization
17.268,Private nonprofit institution/organization
17.268,Anyone/general public
17.268,Native American Organizations
17.268,Student/Trainee
17.268,Small Business Person
17.268,Black
17.268,American Indian
17.268,Spanish Origin
17.268,Asian
17.268,Other Non-White
17.268,U.S. Citizen
17.268,Veteran/Service person/Reservist (including dependents
17.268,Women
17.268,"Disabled (e.g. Deaf, Blind, Physically Disabled)"
17.268,Unemployed
17.268,Welfare Recipient
17.268,Moderate Income
17.268,Low Income
17.268,Education (13+)
15.930,Anyone/general public
15.930,Local
15.930,Public nonprofit institution/organization
15.945,State
15.945,Local
15.945,Public nonprofit institution/organization
15.945,Other public institution/organization
15.945,Federally Recognized Indian Tribal Governments
14.241,Individual/Family
14.241,Anyone/general public
84.358,"Specialized group (e.g. health professionals, students, veterans)"
84.358,Student/Trainee
84.358,Local
84.358,School
84.358,Child (6-15)
84.358,Youth (16-21)
84.358,Rural
84.358,Education (0-8)
84.358,Education (9-12)
15.916,Anyone/general public
17.003,Anyone/general public
87.052,Private nonprofit institution/organization
87.052,Interstate
87.052,Intrastate
87.052,State
87.052,Local
87.052,Public nonprofit institution/organization
87.052,Other public institution/organization
87.052,Federally Recognized Indian Tribal Governments
17.005,Anyone/general public
17.002,Anyone/general public
93.569,Individual/Family
93.569,Senior Citizen (60+)
93.569,Unemployed
93.569,Low Income
93.569,Public nonprofit institution/organization
87.051,Private nonprofit institution/organization
87.051,Interstate
87.051,Intrastate
87.051,State
87.051,Local
87.051,Public nonprofit institution/organization
87.051,Other public institution/organization
87.051,Federally Recognized Indian Tribal Governments
10.973,
15.946,State
15.946,Local
15.946,Public nonprofit institution/organization
15.946,Federally Recognized Indian Tribal Governments
15.935,Individual/Family
15.935,Profit organization
15.935,Quasi-public nonprofit organization
15.935,Other private institution/organization
15.935,Anyone/general public
15.935,Interstate
15.935,Native American Organizations
15.935,Intrastate
15.935,State
15.935,Local
15.935,Federally Recognized Indian Tribal Governments
17.004,Anyone/general public
15.253,Private nonprofit institution/organization
15.255,Public nonprofit institution/organization
15.255,State
15.255,Private nonprofit institution/organization
15.254,Public nonprofit institution/organization
15.254,Other public institution/organization
17.720,U.S. Territories
17.720,Small business
17.720,Profit organization
17.720,Private nonprofit institution/organization
17.720,Quasi-public nonprofit organization
17.720,Other private institution/organization
17.720,Interstate
17.720,Native American Organizations
17.720,Intrastate
17.720,State
17.720,Local
17.720,Sponsored organization
17.720,Public nonprofit institution/organization
17.720,Other public institution/organization
17.720,Federally Recognized Indian Tribal Governments
15.546,Local
84.220,Private nonprofit institution/organization
84.220,Quasi-public nonprofit organization
84.220,Other private institution/organization
84.220,Education Professional
84.220,Student/Trainee
84.220,Graduate Student
84.220,State
84.220,Education (13+)
84.220,Public nonprofit institution/organization
84.220,Other public institution/organization
20.943,Local
20.943,Native American Organizations
20.943,Federally Recognized Indian Tribal Governments
20.943,State
20.910,Small business
20.910,Small Business Person
20.910,Veteran/Service person/Reservist (including dependents
20.910,Women
20.942,State
20.942,Local
20.942,Other public institution/organization
20.942,U.S. Territories
20.942,Federally Recognized Indian Tribal Governments
20.942,Other private institution/organization
93.228,Individual/Family
93.228,Minority group
93.228,American Indian
10.334,"Specialized group (e.g. health professionals, students, veterans)"
10.334,Veteran/Service person/Reservist (including dependents
93.777,State
84.153,Quasi-public nonprofit organization
84.153,Other private institution/organization
84.153,Student/Trainee
84.153,Graduate Student
84.153,Education (13+)
84.153,Public nonprofit institution/organization
84.153,Other public institution/organization
84.153,Private nonprofit institution/organization
84.153,Education Professional
84.153,State
91.005,Private nonprofit institution/organization
91.005,Quasi-public nonprofit organization
91.005,Other private institution/organization
91.005,U.S. Citizen
91.005,Public nonprofit institution/organization
91.005,Other public institution/organization
93.310,Private nonprofit institution/organization
93.310,Scientist/Researchers
93.310,State
93.310,Local
93.310,Public nonprofit institution/organization
93.310,Other public institution/organization
93.368,Public nonprofit institution/organization
93.368,Other public institution/organization
20.224,Federal
20.224,U.S. Territories
20.224,Local
20.224,Federally Recognized Indian Tribal Governments
15.668,"Specialized group (e.g. health professionals, students, veterans)"
20.205,U.S. Territories
20.205,State
93.370,Public nonprofit institution/organization
93.370,Other public institution/organization
59.037,Small business
93.676,Refugee/Alien
93.676,Infant (0-5)
93.676,Youth (16-21)
20.234,State
93.774,Individual/Family
93.774,"Disabled (e.g. Deaf, Blind, Physically Disabled)"
93.774,"Physically Afflicted (e.g. TB, Arthritis, Heart Disease)"
93.774,Mentally Disabled
93.774,Senior Citizen (60+)
93.774,Pension Recipient
15.250,State
93.840,Individual/Family
93.840,Small business
93.840,Profit organization
93.840,Private nonprofit institution/organization
93.840,Health Professional
93.840,Education Professional
93.840,Graduate Student
93.840,Scientist/Researchers
93.840,Public nonprofit institution/organization
84.379,Individual/Family
84.379,Education Professional
