data.title,data.objective,data.programNumber,data.organizationId,data.description,l1ShortName,l1Name,l2Name
Fire Management Assistance Grant,"The Fire Management Assistance Grant (FMAG) Program is authorized by the Stafford Act. The objective and purpose of the FMAG Program is to provide supplemental assistance to State, Tribal, and local governmental entities for the mitigation, management, and control of any fire on public or private forest land or grassland that threatens such destruction as would constitute a major disaster. The funds are primarily used for fire suppression services (response) but also for essential assistance (emergency protective measures) as described in Section 403 (42 U.S.C. 5170b) of the Stafford Act. This includes but is not limited to evacuation, sheltering, police barricading, equipment and supplies, and other costs related to fire suppression operations and administration in support of these operations. 

Performance Measures:
•	Number of SLTT partners who receive FMAG assistance
•	Number of dollars SLTT partners receive to mitigate, manage, and control FMAG-Declared fires
•	Number of field camps established
•	Number of tools repaired or replaced
•	Number of mobilization activities conducted
•	Number of dollars used to offset administrative costs",97.046,100011943,"Grants are provided to States, Indian tribal and local governments for the mitigation, management and control of any fire burning on publicly (non-federal) or privately owned forest or grassland that threatens such destruction as would constitute a major disaster.",DHS,"HOMELAND SECURITY, DEPARTMENT OF",FEDERAL EMERGENCY MANAGEMENT AGENCY
Rail and Transit Security Grant Program,"The objective of the FY 2023 TSGP is to provide funds to eligible public transportation systems (which include intra-city bus, ferries, and all forms of passenger rail) to protect critical transportation infrastructure and the travelling public from acts of terrorism, and to increase the resilience of the transportation infrastructure itself. The objective of the FY 2023 IPR is to provide funds to the National Railroad Passenger Corporation (Amtrak) to protect critical transportation infrastructure and the travelling public from acts of terrorism, as well as to increase the resilience of the transportation infrastructure itself.",97.075,100011943,"The objectives of the FY 2023 TSGP and IPR are to provide funds to eligible public transportation systems (which include intra-city bus, ferries and all forms of passenger rail) and Amtrak for the protection of critical transportation infrastructure and the travelling public from acts of terrorism and to increase the resilience of transit infrastructure.",DHS,"HOMELAND SECURITY, DEPARTMENT OF",FEDERAL EMERGENCY MANAGEMENT AGENCY
Employee Benefits Security Administration,"The Employee Benefits Security Administration (EBSA) is responsible for the administration and enforcement of the civil and criminal provisions of Title I of the Employee Retirement Income Security Act of 1974 (ERISA) as well as related provisions of other Federal laws (e.g., Title 18 USC federal criminal statutes). EBSA is also responsible for assuring compliance with the fiduciary responsibility provisions of the Thrift Savings Plan under the Federal Employees' Retirement System Act of 1986 (FERSA). The Employee Benefits Security Administration (EBSA) is committed to educating and assisting more than 152 million workers, retirees and their families covered by approximately 747,000 private retirement plans, 2.5 million health plans, and 673,000 other welfare benefit plans holding approximately $11.7 trillion in assets; as well as plan sponsors and members of the employee benefits community. EBSA balances proactive enforcement with compliance assistance and works diligently to provide quality assistance to plan participants and beneficiaries. It is the policy of EBSA to provide the highest quality of service to its customers. EBSAs mission is to assure the security of the retirement, health and other workplace related benefits of America's workers and their families. We will accomplish this mission by developing effective regulations; assisting and educating workers, plan sponsors, fiduciaries and service providers; and vigorously enforcing the law.",17.150,100116594,"EBSA's goal in providing direct assistance is to raise the knowledge level of plan participants and beneficiaries, plan sponsors, service providers and other interested parties and to ensure that they have access to available plan documents filed with the Department of Labor.",DOL,"LABOR, DEPARTMENT OF",EMPLOYEE BENEFITS SECURITY ADMINISTRATION
Productivity and Technology Data,"To provide, analyze, and publish data on productivity trends in the U.S. economy, as well as in major sectors, individual industries and states, and examine the factors underlying productivity change.",17.004,100116370,,DOL,"LABOR, DEPARTMENT OF",BUREAU OF LABOR STATISTICS
Compensation and Working Conditions,"To provide, analyze, and publish a diverse set of measures of employee compensation, including cost, wages, and benefits and work-related injuries, illnesses, and fatalities, compile work stoppages statistics, and conduct research to improve the measurement process.",17.005,100116370,,DOL,"LABOR, DEPARTMENT OF",BUREAU OF LABOR STATISTICS
National Farmworker Jobs Program,"To help individuals, and their dependents, who are primarily employed in agricultural and fish farming labor that is characterized by chronic unemployment and underemployment, obtain and retain unsubsidized employment, or stabilize their unsubsidized employment, including upgraded employment in agriculture.  Grant organizations provide career services, job training, housing assistance, and other related assistance.",17.264,100084157,"The Department of Labor (DOL) awards NFJP grants competitively to eligible applicants that submit four-year program plans for operating the NFJP in state, substate, and multi-state service areas. Grantees provide career services, training services, youth services, housing assistance and other related assistance. Funds for employment and training grants are allocated through an administrative formula to state service areas. A percentage of program funds is designated for Housing Assistance grants and is allocated based on the services described and the service areas specified in grantee program plans. Grants are awarded for a four-year period.

The NFJP is a required one-stop partner. Therefore, Local Workforce Development Boards, in the areas of the state where an NFJP operates, must negotiate Memorandums of Understanding (MOUs) with NFJP grantees. Additionally, state monitor advocates are required to negotiate MOUs with NFJP grantees.",DOL,"LABOR, DEPARTMENT OF",EMPLOYMENT AND TRAINING ADMINISTRATION
Native American Employment and Training,"To support employment and training services for Native Americans, Alaska Natives, and Native Hawaiian individuals in order to develop more fully the academic, occupational, and literacy skills of such individuals; to make such individuals more competitive in the workforce and to equip them with the entrepreneurial skills necessary for successful self-employment; and to promote the economic and social development of Native Americans, Alaska Natives, and Native Hawaiian communities in accordance with the goals and values of such communities. All programs assisted under this section shall be administered in a manner consistent with the principles of the Indian Self-Determination and Education Assistance Act (25 U.S.C. 450 et seq.) and the government-to-government relationship between the Federal Government and Indian tribal governments. Supplemental youth funding is also awarded to help low-income Native American youth and Native Hawaiian youth, between the ages of 14 and 24, acquire the educational and occupational skills needed to achieve academic and employment success and transition to careers and productive adulthood.",17.265,100084157,,DOL,"LABOR, DEPARTMENT OF",EMPLOYMENT AND TRAINING ADMINISTRATION
Delta Regional Authority,"The Delta Regional Authority (DRA) is a federal-state partnership serving a 240-county/parish area in an eight-state region. Led by a Federal Co-Chairman and the governors of each participating state, the DRA is designed to remedy severe and chronic economic distress by stimulating economic development and fostering partnerships that will have a positive impact on the region's economy. Help economically distressed communities to leverage other federal and state programs which are focused on basic infrastructure development, transportation improvements, business development, and job training services.",90.200,300000071,,DRA,DELTA REGIONAL AUTHORITY,
"Indian Tribal Water Resources Development, Management, and Protection","To increase opportunities for Indian tribes to develop, manage, and protect their water resources.

",15.519,100010394,,DOI,"INTERIOR, DEPARTMENT OF THE",BUREAU OF RECLAMATION
"Geographic Programs - Chesapeake Bay Program Implementation, Regulatory/Accountability and Monitoring Grants","The EPA's Chesapeake Bay Program (CBP) awards annual grants to states, tribes and local governments that are signatories to the 2014 Chesapeake Bay Watershed Agreement to reduce and prevent pollution and to improve the living resources in the Chesapeake Bay. Grants are awarded for implementation projects, regulatory/accountability, and monitoring, as well as other related activities. EPA's funding priority is to achieve the goals and objectives established in the 2014 Chesapeake Bay Watershed Agreement through the implementation of the management strategies. More detail on these can be found at http://www.chesapeakeprogress.com. Funded projects have helped support the commitments set forth in Chesapeake Executive Council agreements and amendments (The Chesapeake Bay Agreement of 1983 through the 2014 Chesapeake Bay Watershed Agreement) and subsequent directives, adoption statements, endorsements and resolutions to expand and strengthen cooperative efforts to restore and protect the Chesapeake Bay. These grants are generally awarded non-competitively through allocation formulas provided in program guidance: 1) Chesapeake Bay Regulatory and Accountability (CBRAP) grants: These grants are awarded to the signatory jurisdictions to aid in implementing and expanding their regulatory, accountability, assessment, compliance, and enforcement capabilities to meet the Water Quality Goal for the 2014 Chesapeake Bay Watershed Agreement and the Bay TMDL. 2) Chesapeake Bay Implementation Grants (CBIG): These grants are awarded non-competitively to the signatory jurisdictions for implementation of the management strategies and their two-year Logic & Action Plans developed for each of the applicable outcomes identified in the 2014 Chesapeake Bay Watershed Agreement. 3) Monitoring Grants: These grants are awarded to signatory jurisdictions for enhanced monitoring and assessment of nutrient and sediment loads, habitat quality, benthic community conditions, and trends of the Chesapeake Bay and its tidal tributaries. These grants are generally awarded non-competitively through allocation formulas. Funding Priorities - Fiscal Year 2023: Non-competitive grants are projected to continue to be funded for the signatory jurisdictions of the 2014 Chesapeake Bay Watershed Agreement to support: (1) their regulatory and accountability programs, (2) the control and abatement of nonpoint source nutrient and sediment pollution, (3) implementation of their watershed implementation plans, milestone commitments and agriculture best management practices within the most effective basins with an emphasis on underrepresented communities, and (4) water quality monitoring and assessment.",66.964,100081847,"The Chesapeake Bay is a national treasure and unique as North America's largest and most biologically diverse estuary. Funded projects help support the commitments set forth in Chesapeake Executive Council agreements and amendments (The Chesapeake Bay Agreement of 1983 through the 2014 Chesapeake Bay Watershed Agreement) and subsequent directives, adoption statements, endorsements and resolutions to expand and strengthen cooperative efforts to restore and protect the Chesapeake Bay.",EPA,ENVIRONMENTAL PROTECTION AGENCY,
Water Infrastructure Finance and Innovation (WIFIA),"To accelerate investment in our nation's water and wastewater infrastructure by providing long-term, low-cost supplemental credit assistance under customized terms to creditworthy water and wastewater projects of national and regional significance.

Funding Priority - Fiscal Year FY 2023:  Selected projects shall demonstrate the broad range of project types that the WIFIA program can finance including wastewater, drinking water, stormwater, and water recycling projects. Funding priorities are announced with the release of each Notice of Funding Availability.",66.958,100081847,"The WIFIA program accelerates investment in water and wastewater infrastructure of national and regional significance by offering creditworthy borrowers loans for up to 49 percent of eligible project costs. WIFIA can fund planning, design, and construction activities for a wide variety of eligible water infrastructure projects, including wastewater conveyance and treatment projects; drinking water treatment and distribution projects; stormwater management, non-point source pollution control, green infrastructure, enhanced energy efficiency projects at drinking water and wastewater facilities; desalination, aquifer recharge, and water recycling projects; acquisition of property if it is integral to the project or will mitigate the environmental impact of a project; and a combination of eligible projects secured by a common security pledge or submitted under one application by an SRF program.

Eligible borrowers include: local, state, tribal, government entities, partnerships and joint ventures, corporations and trusts, and clean water and drinking water state revolving fund (SRF) programs. In addition, a set-aside of the WIFIA program, called the State infrastructure financing authority WIFIA (SWIFIA) program, authorized by Congress in section 4201 of America’s Water Infrastructure Act (AWIA) of 2018, provides loans exclusively to State infrastructure financing authority borrowers (commonly referred to as State Revolving Fund programs).",EPA,ENVIRONMENTAL PROTECTION AGENCY,
"Water Pollution Control State, Interstate, and Tribal Program Support","To assist States (including territories and the District of Columbia), Indian Tribes qualified under CWA Section 518(e), and interstate agencies in establishing and maintaining adequate measures for prevention and control of surface and ground water pollution from both point and nonpoint sources.  Funding Priority - Fiscal year 2023: 
 States and Tribes will continue to focus on fulfilling their basic responsibilities under the CWA Section 106 funded programs. State priority efforts will include: (1) implementing monitoring strategies and the statistically-valid surveys to determine water quality status and trends; (2) fostering a watershed approach, including total maximum daily loads (TMDLs) and watershed plans designed to meet water quality standards; (3) implementing National Pollutant Discharge Elimination System (NPDES) permitting programs; and 4) States and Tribes will continue adopting updated water quality standards that support designated uses and completing triennial reviews on time.  States NPDES Programs will continue to: (1) ensure the integrity of the program; (2) achieve and measure environmental results; and (3) incorporate efficiencies in permitting program operations. States will also conduct source water protection actions to protect both ground water and surface waters used for drinking water. Tribes will continue to conduct watershed assessments and will maintain and improve their capacity to implement water quality programs through monitoring, assessments, planning, data management and standards development.  Funding Priority - Fiscal Year 2024: States and Tribes will continue to focus on fulfilling their basic responsibilities under the CWA Section 106 funded programs. State priority efforts will include: (1) implementing monitoring strategies and the statistically-valid surveys to determine water quality status and trends; (2) fostering a watershed approach, including total maximum daily loads (TMDLs) and watershed plans designed to meet water quality standards; (3) implementing National Pollutant Discharge Elimination System (NPDES) permitting programs; and 4) States and Tribes will continue adopting updated water quality standards that support designated uses and completing triennial reviews on time. States NPDES Programs will continue to: (1) ensure the integrity of the program; (2) achieve and measure environmental results; and (3) incorporate efficiencies in permitting program operations. States will also conduct source water protection actions to protect both ground water and surface waters used for drinking water. Tribes will continue to conduct watershed assessments and will maintain and improve their capacity to implement water quality programs through monitoring, assessments, planning, data management and standards development.",66.419,100081847,"To assist States, including territories and, the District of Columbia, Indian Tribes qualified under CWA Section 518(e), and interstate agencies in establishing and maintaining adequate measures for prevention and control of surface and ground water pollution from both point and nonpoint sources.",EPA,ENVIRONMENTAL PROTECTION AGENCY,
Clean Water State Revolving Fund,"To create State Revolving Funds (SRFs) through a program of capitalization grants to States which will provide a long-term source of State financing for construction of wastewater treatment facilities and implementation of other water quality management activities.

Funding Priority - Fiscal Year 2023: Capitalization grants are available to each State for the purpose of establishing a Clean Water SRF for providing assistance for: (1) construction of publicly owned wastewater treatment works; (2) implementation of nonpoint source management activities included in State Plans developed pursuant to Section 319; (3) development and implementation a National Estuary Program comprehensive conservation and management plan under Section 320; (4) the construction, repair, or replacement of decentralized wastewater treatment systems that treat municipal wastewater or domestic sewage; (5) measures to manage, reduce, treat or recapture stormwater or subsurface drainage water; (6) any municipality or intermunicipal, interstate, or State agency for measures to reduce the demand for publicly owned treatment works capacity through water conservation, efficiency or reuse; (7) the development and implementation of watershed projects meeting the criteria set forth in section 122; (8) any municipality or intermunicipal, interstate, or State agency for measures to reduce the energy consumption needs for publicly owned treatment works; (9) reusing or recycling wastewater, stormwater, or subsurface drainage water; (10) measures to increase the security of publicly owned treatment works; (11) any qualified nonprofit entity, as determined by the Administrator, to provide assistance to owners and operators of small and medium publicly owned treatment works to plan, develop, and obtain financing for eligible projects under section 603(c), including planning, design, and associated preconstruction activities and to assist such treatment works in achieving compliance with the Clean Water Act (CWA); and (12) any qualified nonprofit entity, as determined by the Administrator, to provide assistance to an eligible individual (as defined in subsection (j))— (A) for the repair or replacement of existing individual household decentralized wastewater treatment systems or in a case in which an eligible individual resides in a household that could be cost effectively connected to an available publicly owned treatment works, for the connection of the applicable household to such treatment works. The program supports the Agency's strategic goal of providing clean and safe water. The Infrastructure Investment and Jobs Act (IIJA), 2021, (Public Law 117-58), makes available additional capitalization grants to each state for the purpose of providing assistance through the Clean Water SRF to: (1) activities identified above and (2) activities identified above for projects that address emerging contaminants. The capitalization grant is deposited in the State's SRF, which is used to provide loans and other types of financial assistance, to local communities, intermunicipal and interstate agencies, and other eligible entities as described in Title VI of the Clean Water Act.  Division N of the Consolidated Appropriations Act, 2023, Public Law 117-328 also includes $665.2 million in supplemental funding for the CWSRF, available only to states or territories in EPA Regions 2 and 4 for treatment works impacted by Hurricanes Fiona or Ian.  A maximum of four percent of the grant amounts, $400,000 each year, or 1/5 percent per year of the current valuation (total net position) of the fund may be used by the States for the cost of administering the SRF. States determine priorities for funding within their State in accordance with the CWA. For the 51 State CWSRFs, a portion of the capitalization grant funding must be used to provide additional subsidy in the form of grants, principal forgiveness, or negative interest loans.",66.458,100081847,To create State Revolving Funds (SRFs) through a program of capitalization grants to States which will provide a long term source of State financing for construction of wastewater treatment facilities and implementation of other water quality management activities.,EPA,ENVIRONMENTAL PROTECTION AGENCY,
Veterans Transportation Program,"This program furthers the Department’s mission by establishing a program to provide grants to eligible recipients to assist veterans in highly rural areas through innovative transportation services to travel to Department of Veterans Affairs Medical Centers, and to otherwise assist in providing transportation services in connection with the provision of VA medical care to these veterans",64.035,100500134,Grants available to Veteran Service Organizations and State Veterans Agencies to provide transportation for Veterans in Highly Rural Areas to their VA approved medical appointments.,VA,"VETERANS AFFAIRS, DEPARTMENT OF",VA HEALTH ADMINISTRATION CENTER
California Refuge Account,"ONRR shares 40.87 percent of Oil and Gas Rents, Royalties, and Bonus Bids with the State of California.",15.432,100166331,,DOI,"INTERIOR, DEPARTMENT OF THE",DEPARTMENTAL OFFICES
Survivors and Dependents Educational Assistance,To provide educational opportunities to the dependents of certain disabled and deceased veterans.,64.117,100500135,,VA,"VETERANS AFFAIRS, DEPARTMENT OF",VETERANS BENEFITS ADMINISTRATION
National Cemeteries,To verify military service and determine eligibility requirements are met for Veterans and their family members for burial in a VA national cemetery.  To schedule eligible Veterans and family members burial services for national cemeteries.  To provide pre-need determinations for burial to Veterans.,64.201,100500133,"The purpose of the National Cemetery Scheduling Office (NCSO) is to verify military service and to determine eligibility requirements are met for Veterans and their family members for burial in a national cemetery. Once eligibility is determined, the NCSO schedules the services for the specific national cemetery.",VA,"VETERANS AFFAIRS, DEPARTMENT OF",NATIONAL CEMETERY SYSTEM
Post-9/11 Veterans Educational Assistance,"To assist beneficiaries in receiving educational benefits and training and to help service members adjust to civilian life after separation from military service, assist in the recruitment and retention of highly qualified personnel in the active and reserve components in the Armed Forces by providing education benefits, and to provide educational opportunities to the dependents of certain service members and veterans.",64.027,100500135,,VA,"VETERANS AFFAIRS, DEPARTMENT OF",VETERANS BENEFITS ADMINISTRATION
Improving the Capability of Indian Tribal Governments to Regulate Environmental Quality,"The purpose of the Environmental Regulatory Enhancement (ERE) program is to provide funding for the costs of planning, developing, and implementing programs designed to improve the capability of tribal governing bodies to regulate environmental quality pursuant to federal and tribal environmental laws. The ERE program supports the principle that projects must follow tribal cultural preservation and natural resource management priorities in order to achieve environmentally healthy, sustainable Native American and Alaska Native communities. The Administration for Native Americans (ANA) is therefore interested in supporting locally designed projects that strengthen tribal environmental regulatory programs in a manner consistent with the goals of native communities.",93.581,300000297,"The ERE program enhances the ability of tribal governments to provide effective stewardship over the lands, water, and air that encompass their native communities.",HHS,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",ADMINISTRATION FOR CHILDREN AND FAMILIES
VA Homeless Providers Grant and Per Diem Program,"The VA Homeless Providers Grant and Per Diem (GPD) Program is VA’s largest transitional housing program for Veterans experiencing homelessness and is permanently authorized under Public Law 109-461.

Since 1994, the GPD Program has awarded grants to community-based organizations to provide transitional housing with wraparound supportive services to assist vulnerable Veterans move into permanent housing. The grants are designed to meet Veterans at various stages as they move to stable housing. Community-based organizations receiving GPD grants offer focused transitional housing services through a variety of housing models targeted to different populations and needs of Veterans. The GPD program plays a vital role in the continuum of homeless services by providing supportive services to those Veterans who would otherwise be among the unsheltered homeless population. The result of GPD programs is that Veterans achieve residential stability, increase their skill levels and/or income, and obtain greater self-determination.",64.024,100500134,,VA,"VETERANS AFFAIRS, DEPARTMENT OF",VA HEALTH ADMINISTRATION CENTER
Energy Community Revitalization Program (ECRP),"To reduce methane and other greenhouse gas emissions, help clean up water contamination, restore native habitat, create good-paying union jobs, and benefit disproportionately impacted communities through grants to State and Tribal governments to plug, remediate, and reclaim orphaned oil and gas well sites on State, Tribal, and private lands, as authorized by Congress under Public Law 117-58, the Bipartisan Infrastructure Law (BIL), also known as the Infrastructure Investment and Jobs Act.",15.018,100045573,"Section 40601 of the BIL directs the Secretary of the Interior to establish programs to inventory and properly plug, remediate, and reclaim orphaned wells. The BIL invests $4.7 billion to reduce methane and other greenhouse gas emissions from orphaned wells. These funds help clean up water contamination, restore native habitat, create good-paying union jobs, and benefit disproportionately impacted communities. 

State Grants include three categories of project funding: Initial Grants to assist states in the development or administration of a program to carry out any activities associated with plugging, remediating, and/or reclaiming orphaned well sites on state or private lands; Formula Grants to plug, and reclaim orphaned well sites on state and private lands, reclaim adjacent lands, and decommission or remove associated pipelines, facilities, and infrastructure; and Performance Grants  - both matching and regulatory - to increase state spending on well plugging, remediation, or reclamation, improve regulation of oil and gas wells, lower unemployment in the state, and improve economic conditions in economically distressed areas of the state.    

Tribal Grants/Assistance includes three categories of project funding: Program Development Grants to assist Tribes in the development or administration of a Tribal program to carry out any activities associated with plugging, remediating, and/or reclaiming orphaned well sites on the Indian Tribe’s respective trust or restricted lands; Implementation Grants to plug, remediate, and reclaim orphaned well sites on the Indian Tribe’s respective trust or restricted lands; and In Lieu of Grant Projects to fund a Tribe’s request of the Department to administer and carry out plugging, remediation and reclamation activities on the Tribe’s behalf. 

Cooperative agreement to the entity legislatively authorized to perform the work proposed as outlined in Section 40601 of BIL.",DOI,"INTERIOR, DEPARTMENT OF THE",DEPARTMENTAL OFFICES
Procurement of Headstones and Markers and/or Presidential Memorial Certificates,"Provide Government-furnished headstones and markers to mark the grave or memorialize Veterans and other eligible individuals in national, state/tribal, or private cemeteries around the world.  Provide Government-furnished medallions for placement on privately-purchased grave markers of Veterans buried in private cemeteries.  Provide Presidential Memorial Certificates to eligible Veterans and others with qualifying military service.",64.202,100500133,"The purpose of Memorial Products Service (MPS) is to provide Government-furnished headstones, markers, medallions, and Presidential Memorial Certificates to eligible Veterans and other eligible individuals around the world.",VA,"VETERANS AFFAIRS, DEPARTMENT OF",NATIONAL CEMETERY SYSTEM
All-Volunteer Force Educational Assistance,To help servicepersons readjust to civilian life after their separation from military service.  Assist in the recruitment and retention of highly qualified personnel in the active and reserve components in the Armed Forces by providing education benefits.,64.124,100500135,,VA,"VETERANS AFFAIRS, DEPARTMENT OF",VETERANS BENEFITS ADMINISTRATION
Post-Vietnam Era Veterans' Educational Assistance,"To provide educational assistance to persons entering the Armed Forces after December 31, 1976, and before July 1, 1985; to assist persons in obtaining an education they might otherwise not be able to afford; and to promote and assist the all-volunteer military program of the United States by attracting qualified persons to serve in the Armed Forces.",64.120,100500135,,VA,"VETERANS AFFAIRS, DEPARTMENT OF",VETERANS BENEFITS ADMINISTRATION
Flood Control Act Lands,"ONRR shares 75 percent of mineral leasing revenue with the State, paid monthly and is subject to late disbursement interest.",15.433,100166331,,DOI,"INTERIOR, DEPARTMENT OF THE",DEPARTMENTAL OFFICES
State Select,ONRR shares 90 percent of oil and gas royalties with the State to be paid monthly subject to late disbursement interest. ,15.429,100166331,,DOI,"INTERIOR, DEPARTMENT OF THE",DEPARTMENTAL OFFICES
Conservation Loans ,"To provide access to credit for farmers who need and want to implement conservation measures on their land but do not have the “up front” funds available to implement these practices. Unlike FSA’s traditional farm ownership and operating loan programs that are targeted toward smaller and less financially established farmers, eligibility requirements for the CL program are expanded to permit FSA to provide assistance to some applicants who may be large and financially strong.",10.099,100076826,,USDA,"AGRICULTURE, DEPARTMENT OF",FARM SERVICE AGENCY
"Rural Health Care Services Outreach, Rural Health Network Development and Small Health Care Provider Quality Improvement","Delta Region Community Health Systems Development Program: enhances health care delivery in the Delta Region through intensive technical assistance to providers in select rural communities, including Critical Access Hospitals, small rural hospitals, Rural Health Clinics, and other healthcare organizations. Delta States Rural Development Network Program: funds organizations located in the eight Delta States, which include Alabama, Illinois, Kentucky, Tennessee, Arkansas, Louisiana, Mississippi and Missouri. It aims to promote population health, through the planning, implementation, and the development of integrated health care networks. Eligible entities participate in the networks to achieve efficiencies, expand access to care, and coordinate and improve the quality of essential health care services. Delta Region Rural Health Workforce Training Program: addresses the ongoing need in healthcare facilities for trained administrative support or business operations professionals in rural communities through the development of Strategic Networks that support recruitment, formal training, certification, and placement of students. Delta Health Systems Implementation Program: improves healthcare delivery in rural areas by implementing projects that will improve the financial sustainability of hospitals and allow for increased access to care in rural communities. Rural Health Network Development Program: supports integrated rural health care networks that have combined the functions of the entities participating in the network to address the health care needs of the targeted rural community. Awardees will combine the functions of the entities participating in the network to address the following statutory charges: (i) achieve efficiencies; (ii) expand access, coordinate, and improve the quality of essential health care services; and (iii) strengthen the rural health care system. Rural Health Network Development Planning Program: assists in the development of an integrated rural health care network, specifically for entities that do not have a history of formal collaborative efforts. Health care networks can be an effective strategy to help smaller rural health care providers and health care service organizations align resources and strategies, achieve economies of scale and efficiency, and address challenges more effectively as a group than as single providers. Rural Health Care Coordination Program: supports rural health consortiums/networks aiming to achieving the overall goals of improving access, delivery, and quality of care through the application of care coordination strategies in rural communities. Rural Maternity and Obstetrics Management Strategies Program: improves access to and continuity of maternal and obstetrics care in rural communities. Rural Maternal Health Networks develop and test strategies concerning rural regional approaches to risk appropriate care, a network approach to coordinating a continuum of care, leveraging telehealth and specialty care, and financial sustainability. Networks include rural or critical access hospitals, health centers (FQHC), Level III (Subspecialty Care) or Level IV (Regional Perinatal Health Care Centers) facilities, local social services (such as state Home Visiting and Healthy Start programs), and the state Medicaid agency, as partners. Rural Health Care Services Outreach Program: provides support to rural communities to expand and enhance the delivery of health care services through a strong consortium of partners. Outreach projects utilize evidence-based or promising practice models to implement innovative approaches that address community identified health needs, improve population health, demonstrate health outcomes and sustainability. The program also includes the Healthy Rural Hometown Initiative (HRHI) to address the underlying factors that are driving growing rural health disparities related to the five leading causes of avoidable death (heart disease, cancer, unintentional injury/substance use disorder, chronic lower respiratory disease, and stroke). Rural Northern Border Region Planning Program: assists in the planning and identifying of key rural health issues in the rural Northern Border Regional Commission (NBRC) service area. The grant program supports planning activities to identify key rural health issues, assess rural health challenges, and engage in strategic planning activities to inform rural health plans across the northern border region. The goal of the program is to help underserved rural communities identify and better address their health care needs. Rural Northern Border Region Outreach Program: promotes the delivery of health care services to rural underserved populations in the rural NBRC service area of Maine, New Hampshire, New York, and Vermont.  Rural Public Health Workforce Training Network Program: expands public health capacity by establishing rural health networks to support health care job development, training and placement",93.912,100008531,"For more details on the purpose and scope of the Rural Health Care Services programs, refer to the notice of funding opportunity (NOFO).",HHS,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",HEALTH RESOURCES AND SERVICES ADMINISTRATION
Nurse Faculty Loan Program (NFLP),"The Nurse Faculty Loan Program (NFLP) seeks to increase the number of qualified nursing faculty nationwide by providing low interest loans for individuals studying to be nurse faculty and loan cancelation for those who then go on to work as faculty. A robust, geographically dispersed nurse faculty workforce is essential to producing the nursing workforce needed to meet US health care needs. Successful applicants establish and operate a student loan program including maintaining a fund, providing loans to students enrolled in advanced education nursing degree programs, and monitoring compliance with program requirements. In exchange for completion of up to four years of post-graduation full-time nurse faculty employment in an accredited school of nursing, graduates receive cancellation of up to 85 percent of the original student loan amount (plus interest thereon) as authorized by the program. NFLP also encourages Advance Practice Registered Nurses (APRNs) to serve as full-time preceptors within an academic-practice partnership framework in an effort to expand clinical training opportunities for nursing students.",93.264,100008531,,HHS,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",HEALTH RESOURCES AND SERVICES ADMINISTRATION
Public Health Training Centers Program,"The Regional Public Health Training Center program improves the Nation's public health system by strengthening the technical, scientific, managerial and leadership competencies of the current and future public health workforce through the provision of education, training and consultation services. The Regional PHTC Programs together comprise a national program that serves all 50 states, the District of Columbia, the U.S. Virgin Islands, Puerto Rico, and the six U.S. Pacific Jurisdictions. Ten regions are funded to ensure that the U.S. and its jurisdictions all have access to public health workforce education and training. The work of the Regional PHTCs will be accomplished through the provision of tailored training and technical assistance (TA) through collaborative community-based projects. Training curricula will provide skill-based, interactive instruction and quality education using multiple modalities (e.g., synchronous, asynchronous, distance-based, bi-directional video, and in-person), underscoring the current eight cross-cutting core public health competency domains in the primary areas of (1) analytical/assessment, (2) policy development/ program planning, (3) communication skills, (4) cultural competency, (5) community dimension of practice, (6) public health sciences, (7) financial planning and management and, (8) leadership and systems thinking.  Each Regional PHTC will develop training in at least three primary areas listed above and may develop trainings in the sub competencies and beyond based on local health needs assessments. Regional PHTCs seek to develop current and future public health leaders though Leadership Institutes. Moreover, the program aims to establish and enhance collaborative partnerships among state and local health departments, primary care providers, and related organizations (to include non-traditional partners) as they work together to address critical local public health needs.

The Community Health Woker Training Program (CHWTP) expands the public health workforce through the training of new Community Health Workers (CHWs) and health support workers and to extend the knowledge and skills of current CHWs and other health support workers. Through this program, HRSA plans to train 13,000 new and current CHWs and other health support workers to support essential public health services and to focus on experiential training and employment through registered apprenticeships and job placements. The CHWTP aims to increase access to care, improve public health emergency response, and address the public health needs of underserved communities. Individuals trained through the program will acquire knowledge, skills, and expertise to respond to public health needs and public health emergencies, such as the COVID-19 pandemic, in underserved communities through a network of partnerships.

The Public Health Scholarship Program (PHSP) to strengthens the public health workforce by providing support to organizations to develop scholarship programs that incentivize individuals to pursue training and careers in public health. Through the PHSP, scholarship recipients will gain the requisite knowledge and skills necessary to prevent, prepare for, and respond to recovery activities related to COVID–19, as well as other public health emergencies.  This program will provide funds to State or local governments, including state, local, territorial or tribal public health departments, health professions schools, academic health centers, and public or private nonprofit entities with a public health focus. Award recipients will provide scholarships to individuals, including grant recipient employees, receiving public health training in professional, graduate, degree, and/or certificate programs.",93.516,100008531,,HHS,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",HEALTH RESOURCES AND SERVICES ADMINISTRATION
