PON ID,Category Code,Category,FA Code,Focus Area,PON2,PON Definition
10P,P#,"Law, Justice, and Legal Services",P.FA6,Domestic Threats and Hazards,Reduce Violent extremism,"A beneficiary attained one or more of the following results within the past year: -Demonstrated reduction in susceptibility to radicalization through strengthened community engagement, education, and resilience; -Contributed to the disruption of violent extremist networks and recruitment efforts through coordinated prevention and response strategies."
7P,P#,"Law, Justice, and Legal Services",P.FA6,Domestic Threats and Hazards,Improve Nuclear Materials Security,"A beneficiary attained one or more of the following results within the past year: -Demonstrated ability to prevent unauthorized access, theft, or diversion of nuclear materials through secure handling, transport, and storage protocols; -Ensured safe disposition or long-term containment of nuclear materials in accordance with international safety and nonproliferation standards."
2Q,Q#,Natural Resources,Q.FA1,Conservation and Land Management,Improve Coastal Management,"A beneficiary achieved one or more of the following results within the past year: -Strengthened local capacity to manage coastal areas in ways that protect property, infrastructure, and livelihoods; -Implemented practical measures to reduce erosion, storm damage, or flooding through responsible land use and shoreline stabilization; -Improved coordination among landowners, businesses, and local governments to balance economic activity with long-term coastal resilience."
4Q,Q#,Natural Resources,Q.FA1,Conservation and Land Management,Increase Wildfire Prevention Capacity,"A beneficiary achieved one or more of the following results within the past year: -Reduced wildfire fuel loads through responsible land management practices such as controlled burns, mechanical thinning, or vegetation clearing in high-risk areas; -Strengthened systems for early detection and monitoring of wildfire risks; - Improved coordination among landowners, local governments, and agencies to prevent wildfires and protect property."
6Q,Q#,Natural Resources,Q.FA1,Conservation and Land Management,Protect Aquatic Ecosystems,"A beneficiary achieved one or more of the following results within the past year: -Reduced nutrient or pollutant rates; -Increased dissolved oxygen levels in water; -Reduced rates of algal blooms; - Implemented measures to safeguard native aquatic species and maintain natural ecosystem processes; -Strengthened efforts to monitor and respond to threats such as invasive species, harmful algal blooms, or declining water quality; -Promoted responsible land and water use practices that help preserve the health of rivers, lakes, wetlands, and coastal waters."
8Q,Q#,Natural Resources,Q.FA1,Conservation and Land Management,Reduce Environmental Hazards,"A beneficiary achieved one or more of the following results within the past year: -Reduced air pollutant levels or harmful emissions and discharges into air or water; -Increased sites for remediation or clean-up efforts due to environmental contamination from hazardous materials such as industrial pollutants or nuclear waste; -Increased volume of hazardous waste removed, treated, or safely disposed of; -Strengthened local efforts to monitor and respond to environmental threats that could impact families, businesses, or community well-being; -Decreased toxic chemical use or release rates."
1Q,Q#,Natural Resources,Q.FA1,Conservation and Land Management,Improve Availability of Sustainable Water,"A beneficiary achieved one or more of the following results within the past year: -Increased water system availability rates used to support families, farms, businesses, and local ecosystems; -Upgraded infrastructure or systems that ensure clean and dependable water access; -Provided planning and coordination resources to responsibly manage water resources across communities and industries."
9Q,Q#,Natural Resources,Q.FA1,Conservation and Land Management,Restore Aquatic Ecosystems,"A beneficiary achieved one or more of the following results within the past year: -Increased acres or miles of water'such as rivers, lakes, wetlands, estuaries, streams, shorelines, or coastal areas'restored through sediment removal, vegetation planting, erosion control, or habitat creation; -Increased aquatic environments rehabilitated to support fish and wildlife populations; improve water quality; -Increased habitat connectivity for fish passage or wildlife corridor access."
7Q,Q#,Natural Resources,Q.FA1,Conservation and Land Management,Protect Natural Habitats and Ecosystems,"A beneficiary achieved one or more of the following results within the past year: -Increased acres of natural areas'such as forests, grasslands, wetlands, or waterways'preserved; -Reduced habitat loss caused by erosion, overuse, or poorly planned development through responsible land management; -Developed or strengthened long-term plans to safeguard natural resources for future generations and community use."
10Q,Q#,Natural Resources,Q.FA1,Conservation and Land Management,Restore Natural Habitats and Ecosystems,"A beneficiary achieved one or more of the following results within the past year: -Increased acres of natural areas'such as damaged forests, drained wetlands, or fragmented habitats'rehabilitated to support healthy ecosystems and wildlife recovery; -Increased use of practical restoration methods such as erosion control, replanting native vegetation, or reconnecting habitat corridors; -Increased local capacity to restore and maintain natural lands in ways that benefit agriculture, recreation, and rural economies."
5Q,Q#,Natural Resources,Q.FA1,Conservation and Land Management,Increase Wildfire Response Capacity,"A beneficiary achieved one or more of the following results within the past year: -Improved response time and resource coordination during wildfire incidents; -Minimized damage to homes, infrastructure, and acreage of natural areas through fire-resistant construction, evacuation planning, and effective suppression strategies; -Strengthened emergency preparedness and recovery planning to support community resilience."
3Q,Q#,Natural Resources,Q.FA1,Conservation and Land Management,Improve Conservation Partnerships,"A beneficiary achieved one or more of the following results within the past year: -Increased collaboration among government agencies, nonprofits, and community groups on conservation initiatives; -Expanded joint efforts to protect natural resources, wildlife, or ecosystems; -Improved sharing of knowledge, data, and best practices to support conservation goals."
11Q,Q#,Natural Resources,Q.FA2,Water Resources,Improve Sustainable Water Use,"A beneficiary achieved one or more of the following results within the past year: -Increased adoption of practical water-saving technologies or practices that reduce waste and improve efficiency; -Increased utilization rates of systems to monitor and manage water use in homes, agriculture, or businesses; -Increased awareness of responsible water use behaviors that support conservation and reduce unnecessary consumption."
1S,S#,Science and Technology,S.FA1,General Science and Basic Research,Maintain Technical or Operational Standards,"A beneficiary achieved one or more of the following results within the past year: -Revised existing standards through periodic review; -Provided technical assistance to facilitate continued implementation or compliance of standards within institutions, industries, or sectors; -Improved interoperability (e.g., systems, instruments, or datasets) of standards cross-sector; -Communicated updates or guidance to stakeholders to sustain the relevance and effectiveness of standards; -Increased participation levels or adoption of standards by relevant bodies or communities."
2S,S#,Science and Technology,S.FA1,General Science and Basic Research,Create New Technical or Operational Standards,"A beneficiary achieved one or more of the following results within the past year: -Developed new technical, operational, or procedural standards (e.g., safety protocols, quality benchmarks); -Communicated or disseminated newly created standards to relevant stakeholders, users, or regulatory bodies; -Increased adoption or participation level of new standards by applicable institutions, industries, or sectors."
3T,T#,Transportation,T.FA1,Multi-modal Transportation,Improve Accessibility to Transit,A beneficiary achieved one or more of the following results within the past year: -Improved accessibility for disabled people with disabilities.
2T,T#,Transportation,T.FA2,Ground Transportation,Reduce Impaired Driving,"A beneficiary achieved one or more of the following results within the past year: -Reduction in the number of arrests for driving under the influence of alcohol, drugs, or other impairing substances; -Increased consistent use of designated drivers, rideshare services, or other safe transportation alternatives when impaired; -Demonstrated safer decision-making behaviors in situations involving alcohol or other impairing substances."
1T,T#,Transportation,T.FA3,Air Transportation,Improve Air Travel Safety ,"A beneficiary achieved one or more of the following results within the past year: -Documented decrease in air travel-related accidents, near misses, or safety violations; -Reduction in fatalities or serious injuries attributable to aviation operations. "
4T,T#,Transportation,T.FA4,Water Transportation,Increase Waterway Safety,A beneficiary achieved one or more of the following results within the past year: -Reduction in the number of maritime-related accidents or collisions; -Reduction in fatalities or injuries among passengers or crew on waterways; -Reduction in property or cargo damage resulting from maritime incidents.
5T,T#,Transportation,T.FA4,Water Transportation,Improve Waterway Reliability,"A beneficiary achieved one or more of the following results within the past year: -Reduction in shipping or passenger delays due to mechanical, navigational, or operational failures; -Increased consistency of on-time arrivals and departures for maritime transport; -Improved performance of safety inspections or vessel maintenance schedules."
6T,T#,Transportation,T.FA4,Water Transportation,Increase Waterway and Port Capacity,A beneficiary achieved one or more of the following results within the past year: -Increased volume of cargo or passengers transported through ports or waterways; -Reduced congestion or wait times at ports; -Expansion of infrastructure to accommodate larger vessels or higher traffic.
916,G#,Education,G.FA4,Post-Secondary Education,Increase Confidence and Goal-Setting for Post-Secondary Education,"A beneficiary demonstrated at least one of one or more of the following results within the past year: -Development of aspirations or goals related to pursuing post-secondary options (e.g., plans to attend university, future career paths, etc.); -Improved confidence in one's ability to attend a post-secondary program or pursue a certain career (e.g., belief in one's ability to attend university, confidence in ability to obtain a job, etc.); -Access to high-quality career counseling services. "
915,G#,Education,G.FA3,K-12 Education,Increase High School Graduation ,"A beneficiary achieved one or more of the following results within the past year: -Graduation from secondary school (e.g., receiving high school diploma, passing GCSE exams, etc.); -Fulfillment of requirements to remain or become on track to graduate from secondary school; -Passing a secondary school equivalency exam (i.e., GED)."
914,G#,Education,G.FA3,K-12 Education,Increase Enrollment in K12 Schools,A beneficiary demonstrated at least one of one or more of the following results within the past year: -Enrollment in a primary or secondary school; -Decrease in enrollment gaps. 
913,G#,Education,G.FA4,Post-Secondary Education,Improve Persistence and Completion of Post-Secondary Education,"A beneficiary attained one or more of the following results within the past year: -Remained on-track to graduate from a post-secondary program (e.g., meeting the minimum grade/GPA requirements, etc.); -Continued enrollment and attendance in a post-secondary education program; -Graduation from a post-secondary program (e.g., undergraduate degree program, associate degree program, etc.); -Decrease in graduation gaps."
912,G#,Education,G.FA4,Post-Secondary Education,Improve Financial Support for Post-Secondary Education,"A beneficiary achieved at least one of one or more of the following results within the past year: -Financing to pay for courses needed for program of study (e.g., scholarship, student loans, etc.); -Availability of financing options that meet student demands; -Lower borrowing costs; -Decrease in loan default and delinquency rates; -Improvement in return on investment calculus for students.  "
911,G#,Education,G.FA4,Post-Secondary Education,Increase Post-Secondary Education Enrollment,"A beneficiary demonstrated at least one of one or more of the following results within the past year: -Acceptance into a post-secondary program (e.g., undergraduate degree program, certificate program, etc.); -Enrollment into a post-secondary program (e.g., undergraduate degree program, certificate program, etc.); -Decrease in enrollment gaps. "
910,G#,Education,G.FA4,Post-Secondary Education,Improve Preparation for Post-Secondary Education,"A beneficiary demonstrated at least one of one or more of the following results within the past year: -Fulfillment of academic requirements to gain entrance into a post-secondary program (e.g., taking required tests/exams, attaining sufficient credits, etc.); -Completion of entrance applications; -Completion of financial aid applications (e.g., scholarship, student loans, etc.); -Access to college and career counselling.  "
909,G#,Education,G.FA4,Post-Secondary Education,Expand Education About Post-Secondary Education Options,"A beneficiary demonstrated at least one of one or more of the following results within the past year: -Increased knowledge of post-secondary options (e.g., learning about various colleges, awareness of different career pathways, cost and return on investment, etc.); -Increased knowledge of how to succeed in various careers (e.g., learning about what qualifications are needed for a specific career, knowing which transferable skills are applicable to chosen pathway, etc.); -Increased knowledge of application procedures (e.g., knowledge of requirements to apply to college, how to apply for financial aid, etc.); -Access to college and career counselling.  "
907,L#,Health,L.FA2,Health and Wellbeing,Improve Knowledge of Falls Prevention,A beneficiary demonstrated one or more of the following results within the past year: -Improved knowledge of falls and fall risk; -Improved knowledge related to falls-related physical health; -Improved knowledge related to behaviors to prevent falls.
906,L#,Health,L.FA2,Health and Wellbeing,Improve Falls Prevention Self-Efficacy,"A beneficiary demonstrated one or more of the following results within the past year: -Improved self-efficacy (confidence) related to falls and/or reduced fear of falling (e.g., confidence in one's ability to get up after a fall); -Improved self-efficacy (confidence) related to falls-related physical health; -Improved self-efficacy (confidence) related to behaviors to prevent falls and/or readiness to make changes (e.g., belief in one's ability to manage the risk of falls)."
905,L#,Health,L.FA2,Health and Wellbeing,Increase Behavior Changes to Prevent Falls,"A beneficiary demonstrated one or more of the following results within the past year: -Improved routines; -Increased preventative physical activity; -Increased preventative healthcare utilization; -Installation of new home or environmental adaptations; -Increased recommended use of appropriate assistive devices, adaptive devices, and/or home modifications."
904,L#,Health,L.FA2,Health and Wellbeing,Improve Independent Functioning Related to Falls Prevention,"A beneficiary demonstrated one or more of the following results within the past year: -Improved general functioning (e.g., independent living, quality of life, self-care); -Improved cognitive health (e.g., processing speed, cognitive reaction time); -Improved social health (e.g., satisfaction in social relationships)."
903,L#,Health,L.FA2,Health and Wellbeing,Improve Falls-Related Physical Health,"A beneficiary demonstrated one or more of the following results within the past year: -Improved balance; -Improved strength; -Improved flexibility; -Improved walking patterns, gait, and/or stride; -Improved mobility; -Improved general health indicators (e.g., pain, blood pressure, sleep)."
902,L#,Health,L.FA2,Health and Wellbeing,Reduce Falls and Falls-Related Injuries,A beneficiary demonstrated one or more of the following results within the past year: -Reduced or no occurrences of falls; -Reduced number of recurring falls; -Reduced injuries and/or medical care resulting from falls.
901,L#,Health,L.FA2,Health and Wellbeing,Increase Utilization of Mental and Behavioral Health Services,"A beneficiary accessed one or more of the following results within the past year: -Mental and behavioral health services, including therapy, counseling, psychiatry, etc.; -Mental and behavioral health crisis services, including helplines, psychiatric emergency departments, hospitalization, etc.; -Mental and behavioral health services consistently (e.g., retention)."
900,L#,Health,L.FA2,Health and Wellbeing,Improve Mental and Behavioral Health Knowledge and Skills,"A beneficiary demonstrated one or more of the following results within the past year: -Increased knowledge about mental and behavioral health; -Improved skills to support mental and behavioral health (stress management, coping, substance refusal skills, mindfulness, etc.)."
899,L#,Health,L.FA2,Health and Wellbeing,Increase Positive Attitudes Toward Mental Health and Recovery,"A beneficiary demonstrated one or more of the following results within the past year: -Improved attitudes and motivations about seeking support for mental and behavioral health (help seeking attitudes, reduced fear, intention to use services, treatment readiness, etc.); -Improved attitudes and motivations to support behavior change; -Reduced stigma towards mental and behavioral health disorders, including internalized stigma."
898,L#,Health,L.FA2,Health and Wellbeing,Improve Life Satisfaction,"A beneficiary demonstrated one or more of the following results within the past year: -Improved attitudes and beliefs about oneself, including one's capabilities (self-esteem, self-efficacy, sense of purpose, etc.); -Improved attitudes and beliefs about one's circumstances (life satisfaction, resilience, etc.)."
897,L#,Health,L.FA2,Health and Wellbeing,Reduce Abuse of Controlled Substances,"A beneficiary demonstrated one or more of the following results within the past year: -Reduced unhealthy substance use or misuse (alcohol, drugs, tobacco, etc.); -No occurrences of unhealthy substance use or misuse (alcohol, drugs, tobacco, etc.); -Reduced problems related to unhealthy substance use or misuse (symptoms, urges, consequences, quality of life, etc.)."
896,L#,Health,L.FA2,Health and Wellbeing,Improve Mental Health and Wellbeing,"A beneficiary attained one or more of the following results within the past year: -Improved symptoms of a diagnosed or undiagnosed clinical mental health disorder; -Improved cognitive health; -Improved behavioral health; -Improved emotional health;  -Improved social health; -Improved general functioning (independence, quality of life, role functioning, sleep, etc.)."
876,L#,Health,L.FA5,Healthcare Quality and Delivery,Expand High-Quality Healthcare Services,"A beneficiary demonstrated one or more of the following results within the past year: -Provision of safe and effective healthcare; -Provision of healthcare that fosters respectful treatment, open communication between patients and physicians, alignment between patient preferences and treatments received, and higher levels of patient satisfaction; -Provision of time-and cost-efficient healthcare."
875,L#,Health,L.FA2,Health and Wellbeing,Increase Health Self-Efficacy and Engagement in Care Decisions,"A beneficiary attained one or more of the following results within the past year: -Positive attitudes towards seeking health services (the benefits of screenings, feeling comfortable seeking medical care, etc.); -Improved health-related self-efficacy, including patient activation and caregiver self-efficacy; -Improved health-related decision-making power, including active participation in treatment."
874,L#,Health,L.FA2,Health and Wellbeing,Improve Patient Adherence ,A beneficiary demonstrated one or more of the following results within the past year: -Use of medications or medical devices as discussed with a health care provider; -The monitoring or tracking a health condition in accordance with medical guidance; -Positive health behaviors to care for an existing health condition.
873,L#,Health,L.FA2,Health and Wellbeing,Increase Health Literacy and Knowledge,A beneficiary demonstrated one or more of the following results within the past year: -Improved ability to read and understand health-related information -Increased disease prevention and health promotion knowledge  -Increased disease treatment and management knowledge
872,L#,Health,L.FA2,Health and Wellbeing,Improve Comprehensive Healthcare Utilization,"A beneficiary accessed one or more of the following results within the past year: -Short-term or acute health care (short-term hospitalizations, cavity filling, cast for a broken bone, etc.); -Long-term or continuous health care (dialysis, cancer treatments, palliative physician home visits, etc.); -Hospice care (pain relief, bereavement services, etc.)."
871,L#,Health,L.FA2,Health and Wellbeing,Increase Preventative Healthcare Utilization,"A beneficiary has accessed one or more of the following results within the past year: -Preventative healthcare and health promotion services (physicals, mammograms, immunizations, high blood pressure screening, etc.); -Preventative dental care (e.g., regular dental screenings / cleanings / routine x-rays); -Preventative vision care (e.g., regular eye screenings / exams)."
869,B#,Business and Commerce,B.FA2,Economic Development,Improve Business Performance and Growth,"A beneficiary demonstrated one or more of the following results within the past year:  -Increased sales, revenue, profits, or production; -Expansion of client base or access to new markets; -Increased number of employees."
868,B#,Business and Commerce,B.FA1,Business Development,Improve Business Practices and Resilience,"A beneficiary demonstrated one or more of the following results within the past year: -Improved internal business solutions (e.g., automation of operational processes, adoption of new technology, etc.); -Improved ability to adjust operations to meet market demands (e.g., development of new or improved services or products, improved marketing, etc.); -Improved ability to withstand unforeseen shocks and external economic events (e.g., financial plan to enable future organizational functioning and growth, sufficient savings, etc.)."
867,B#,Business and Commerce,B.FA1,Business Development,Create New Businesses,"A beneficiary demonstrated one or more of the following results within the past year:  -Creation of a business; -Formalization of a business (e.g., registration of business, meeting accreditation, etc.)."
866,B#,Business and Commerce,B.FA1,Business Development,Increase Financial Support for Businesses,"A beneficiary accessed one or more of the following results within the past year: -An affordable business loan; -Additional non-loan capital to support business operations (private investments, grants/awards, pro bono services, etc.)."
865,H#,Employment and Labor,H.FA1,Workforce Development,Improve Entrepreneurial Knowledge and Skills,"A beneficiary demonstrated one or more of the following results within the past year: -Knowledge of business terms and concepts (operations, marketing, innovation, etc.); -Skills to start and run a business (developing a business concept, recognizing opportunities/risks, marketing skills, etc.); Completion of entrepreneurial coursework or industry-recognized certifications, training or other credentials. "
864,N#,Income Security and Social Services,N.FA2,Personal Financial Health,Increase Personal Financial Empowerment and Decision-Making Autonomy,"A beneficiary achieved one or more of the following results within the past year: -Improved confidence to manage personal finances, making sound financial decisions, engaging in financial practices, or sticking to a financial plan; -Financial autonomy or decision-making power (e.g., joint household decision-making, operating financial accounts independently, having control over use of income)."
863,N#,Income Security and Social Services,N.FA2,Personal Financial Health,Increase Access to Personal Finance Services,"A beneficiary achieved one or more of the following results within the past year: -A non-dormant savings and/or checking account or other transaction accounts (e.g., reloadable debit card, remittance account); -An affordable, non-predatory credit or loan, including formal loans and micro-credit; -A lending and/or savings group -Resources such as individual retirement savings accounts, pension plan, employer-based retirement account -a formal financial service (e.g., tax preparation, credit counseling)."
862,N#,Income Security and Social Services,N.FA2,Personal Financial Health,Increase Personal Finance Literary and Skills,"A beneficiary achieved one or more of the following results within the past year: -Knowledge of the core concepts of personal finance needed to effectively spend, save, plan, and borrow (e.g., understanding loan terms, fees, credit, and interest rates; managing a savings account); -Skills to perform tasks that support responsible spending, saving, planning, managing debt, and borrowing (e.g., ability to set financial goals, monitor account balances regularly, etc.); -Awareness of financial institutions and products, financial assistance, and resources (e.g., planning for retirement, public assistance, unemployment insurance)."
861,N#,Income Security and Social Services,N.FA2,Personal Financial Health,Increase Current Personal Financial Stability,"A beneficiary achieved one or more of the following results within the past year: -Contributions to and maintenance of liquid savings (e.g., savings without specified purpose); -Timely payments for bills, credit cards, and/or loans (e.g., avoided late payments); -Meaningful gains in credit score; -The ability to cover day-to-day expenses, including having enough money for necessities, being able to make regular housing payments, being able to afford household goods, and having the ability to provide for others."
860,N#,Income Security and Social Services,N.FA2,Personal Financial Health,Increase Personal Financial Resilience,"A beneficiary achieved one or more of the following results in the past year: -Enrollment in or maintenance of an affordable insurance policy for self or key assets (e.g., house or condo insurance, renter's insurance, health insurance); -Enough resources to withstand a negative income shock (e.g., job loss) or expense shock, including emergency savings and buffer savings."
859,N#,Income Security and Social Services,N.FA2,Personal Financial Health,Increase Long-Term Personal Financial Stability,"A beneficiary demonstrated one or more of the following results within the past year: -Increased long-term savings, investments, and/or assets (e.g., retirement savings, education savings, land ownership); -Reduction of debt, including loans, credit cards, and debt to others; -Spent less than income over the last year; -Enrollment in or maintenance of a life insurance policy."
856,L#,Health,L.FA1,Child Welfare,Improve Responsible Decision-Making Skills for Youth,"A beneficiary demonstrated one or more of the following results within the past year: -Fewer or no incidents of school misbehavior (discipline referral, suspension etc.); -Fewer or no incidents of general high-risk behaviors that can result in accidental death (motor vehicle accidents, drowning, fires, etc.); -Improved ability to make reasoned judgements after analyzing information, thinking before acting, identifying solutions for personal and social problems, and/or anticipating and evaluating the consequences of one's actions; -Access to mental health and/or cognitive behavioral therapy services. "
855,G#,Education,G.FA3,K-12 Education,Increase Knowledge of Civics and Social Responsibility for Youth ,"A beneficiary demonstrated one or more of the following results within the past year: -Increased knowledge and understanding of civics and social issues (public rights, inequities, political issues, environmental issues, etc.); -Increased awareness of one's civic/social responsibility; -Increased commitment to propagating social change."
853,L#,Health,L.FA1,Child Welfare,Improve Positive Identity Development for Youth,"A beneficiary attained one or more of the following results within the past year: -Improved view of and feelings about oneself (self-worth, self-esteem, self-confidence, and social/physical/community self-efficacy, etc.); -Improved personal identity development (self-concept, defining personal interests, understanding of internal priorities, etc.); -Improved social identity development (recognition and critical understanding of one's social identities pertaining to race, gender, social class, religion, culture, etc.); -Improved sense of agency (autonomy, independence, etc.); -Access to mental health and/or cognitive behavioral therapy services; -Access to and membership in pro-social activities (e.g. team sports, etc.). "
852,L#,Health,L.FA1,Child Welfare,Improve Social and Emotional Skills for Youth,"A beneficiary demonstrated one or more of the following results within the past year: -Improved emotional self-regulation skills (identification of emotions, coping skills, stress management, behavioral control, motivation, perseverance, ability to follow instructions/rules, etc.); -Improved social and relationship skills (communication skills, perspective-taking skills, empathy, conflict resolution skills, help seeking, cultural competence, etc.); -Improved day-to-day self-management skills (personal goal setting and attainment, self-discipline, etc.); -Improved leadership skills (guiding or directing others on a course of action, team-building skills, ability to teach/mentor others, etc.)."
835,M#,Housing,M.FA1,Housing and Homelessness,Develop or Convert New Affordable Housing,"A beneficiary achieved one or more of the following results within the past year: -New or rehabbed safe, quality housing (rented or owned) that meets personal needs and is free or affordable. Safe housing includes being asbestos free, lead free, and structurally sound. Free or affordable includes subsidized housing, other forms of rent assistance, and/or a monthly expense that is no more than 30% of the household's income"
834,M#,Housing,M.FA1,Housing and Homelessness,Increase Retention of Current Housing,"A beneficiary achieved one or more of the following results within the past year: -Retention of safe, high-quality housing (rented or owned) for at least three months that meets personal needs and is free or affordable. Safe housing includes being asbestos free, lead free, and structurally sound."
833,M#,Housing,M.FA1,Housing and Homelessness,Increase Long-Term Housing,"A beneficiary has gained access to one or more of the following results within the past year: -Safe, quality housing (rented or owned) that meets personal needs and is free or affordable; -Safe housing includes being asbestos free, lead free, and structurally sound; -Free or affordable includes subsidized housing, other forms of rent assistance, and/or a monthly expense that is no more than 30% of the household's income."
832,M#,Housing,M.FA1,Housing and Homelessness,Increase Temporary Housing,"A beneficiary achieved one or more of the following results within the past year: -Immediate or emergency (i.e., non-natural disaster crisis) shelter -Transitional housing (e.g., group homes, short-term rentals)"
829,H#,Employment and Labor,H.FA1,Workforce Development,Improve General Employability and Soft Skills,"A beneficiary demonstrated one or more of the following results within the past year: -Gains in knowledge necessary to identify, search, and apply for jobs suited to their interests and strengths; -Competency in soft skills necessary for employability and job retention (e.g., communication skills, teamwork, problem solving); -Capability to complete basic work-related tasks (e.g., preparing job related documents, using a computer/internet to perform routine job functions); - Increased employment advancement opportunities; -Wage gains commensurate with skills attainment."
828,H#,Employment and Labor,H.FA1,Workforce Development,Improve Job Quality,"A beneficiary attained one or more of the following results within the past year: -Improved benefits (e.g., paid sick and vacation days, medical insurance and retirement benefits); -Better working environment (e.g., manageable working hours, regular scheduling, safe and healthy work environments, increased accommodations); -Better job security (e.g., yearlong contract, protection against dismissal)."
827,H#,Employment and Labor,H.FA1,Workforce Development,Improve Job-Specific Skills,"A beneficiary demonstrated one or more of the following results within the past year: -Achievement of job/career-related credentials or meaningful certifications (i.e., industry-recognized or in-demand certificates); -Improved knowledge, skills, and competencies for a specific job or career; -Completion of paid/unpaid internships, apprenticeships, volunteer opportunities, or fellowship positions that are aligned with career goals and interests."
826,H#,Employment and Labor,H.FA1,Workforce Development,Increase Job Attainment,"A beneficiary attained one or more of the following results within the past year: -Full-time, non-seasonal employment and retained it, typically for at least a quarter (i.e., 90 days); -Non-full-time employment (e.g., a part-time job, contract work; not including internships) and retained it, typically for at least a month (i.e., 30 days); -Improvement in the number of jobs and employment rate. "
825,H#,Employment and Labor,H.FA1,Workforce Development,Increase Job Advancement,"A beneficiary attained one or more of the following results within the past year: -Meaningful increase in pay (such as a raise, cost-of-living increase, or bonus); -Promotion at their current place of work; -Additional job duties or responsibilities with concurrent wage increase."
824,K#,Food and Nutrition,K.FA1,Food and Nutrition Assistance,Improve Nutrition Education,"A beneficiary demonstrated one or more of the following results within the past year: -Increased knowledge of available food assistance supports (e.g., knowledge of community-based or federal food resources/programs) that enable the purchase of nutritional foods -Increased understanding of nutritional needs; -Increased knowledge of how to prepare nutritious food at home."
823,K#,Food and Nutrition,K.FA1,Food and Nutrition Assistance,Improve Food Security ,"A beneficiary attained one or more of the following results within the past year: -Improved level of food security, or reduced level of food insecurity, as measured on a comprehensive survey of the ability to, at all times, afford and access enough food for an active and healthy life (e.g., the US Adult/Household Food Security Survey)."
636,2025#CC,Cross-Cutting,CC.FA1,Cross-Cutting,Increase Civic and Community Engagement,"A beneficiary demonstrated one or more of the following results within the past year: -An increased rate of volunteering in community/extracurricular organization(s); -Greater engagement in community life (e.g., joining a neighborhood association, etc.); -Mobilizing as part of a group to take action towards solving a civil issue."
635,2025#CC,Cross-Cutting,CC.FA1,Cross-Cutting,Improve Navigation of Institutions,"A beneficiary demonstrated one or more of the following results within the past year: -Increased knowledge of how to navigate an entity or system (e.g., banks, higher education, healthcare), to meet their desired end goal (e.g., receive a resource, avoidance of harm, etc.), facilitated by relationships with knowledgeable individuals; -Increased self-efficacy or confidence in one's ability to navigate an entity or system (e.g., banks, higher education, healthcare) to meet a desired end goal (e.g., receive a resource, etc. avoidance of harm), facilitated by relationships with knowledgeable individuals."
634,2025#CC,Cross-Cutting,CC.FA1,Cross-Cutting,Expand Use of Personal and Professional Networks,"A beneficiary demonstrated one or more of the following results within the past year: -Leaned on close high-quality relationships within a group or community to obtain needed help or resources; -Leaned on relationships with others who are different in some capacity to obtain needed help or resources the beneficiary would otherwise not have access to; -Leaned on direct, trusted connections who have significantly more access to power (societal or political) to obtain resources or assistance."
633,2025#CC,Cross-Cutting,CC.FA1,Cross-Cutting,Increase Access to Personal and Professional Relationships,"A beneficiary had increased access to one or more of the following results within the past year: -High-quality relationships within a group or community who would provide emotional or material help/support; -Relationships with others who are different in some capacity, characterized by trust that the other will provide help when it's needed; -Direct, trusted connections to individuals, groups or institutions who have significantly more access to power, characterized by those with authority who would provide access to resources or their influence."
630,G#,Education,G.FA5,STEM Education,Improve Positive STEM Identity and Self-Efficacy,"A beneficiary demonstrated one or more of the following results within the past year: -Confidence in their ability to master STEM topics; -Confidence in their ability to pursue a future STEM pathway (e.g., additional education, STEM careers, etc.); -Perceived support from family/community/school in pursuing a STEM pathway."
629,2025#CC,Cross-Cutting,CC.FA1,Cross-Cutting,Increase Individual Issue Awareness and Advocacy,"A beneficiary demonstrated one or more of the following results within the past year: -Self-awareness of their role and impact regarding a certain issue; -A change in beliefs, attitudes, or values to align with a policy position; -Knowledge of appropriate approaches to address certain social issues (e.g., when to intervene in a conflict, etc.)."
624,K#,Food and Nutrition,K.FA1,Food and Nutrition Assistance,Obtain a Meal,"A beneficiary gained access to one or more of the following results within the past year: -A meal that is on-demand/request, affordable or free, and convenient (e.g., within 3 miles/25 min from home or work)."
622,L#,Health,L.FA2,Health and Wellbeing,Prevent Infectious Disease,"A beneficiary demonstrated one or more of the following results within the past year: -The use of effective vector control methods to decrease the risk of disease (e.g., insecticide-treated nets for every 2 people living in the household and/or indoor residual spraying for Malaria)."
619,H#,Employment and Labor,H.FA1,Workforce Development,Improve Adult Literacy,"A beneficiary demonstrated one or more of the following results within the past year: -Increased proficiency on literacy assessments; -Capability to complete tasks requiring the ability to read and write (e.g., receiving a high school equivalency degree, attaining citizenship goals, etc.)."
618,P#,"Law, Justice, and Legal Services",P.FA2,Legal Services,Promote Fair and Equal Opportunities,A beneficiary demonstrated one or more of the following results within the past year: -Implementation and enforcement of policies that protect against discriminatory criminal behavior; -Implementation and enforcement of policies that protect against discriminatory policies or practices in public services or criminal justice; -Implementation and enforcement of policies that protect against discriminatory societal exclusion.
