PROGRAM_ID,Agency,Program Name,Program Description,Expenditure Method,Mission/Purpose,Recipients,Beneficiaries,Associated Categories,FY 2019 Total Program Obligations,FY 2020 Total Program Obligations,Category,FY 2019 Obligations for Category,FY 2020 Obligations for Category,Update Date-Time
730746,Department of Health and Human Services,RWHAP - Ending the HIV Epidemic Initiative,"The Ending the HIV Epidemic (EHE): A Plan for America initiative is an HHS-wide effort to reduce new infections by 75 percent in the next five years and by 90 percent in the next ten years, with the goal of decreasing the number of new HIV infections to fewer than 3,000 per year. HRSA will focus on linking people with HIV who are either newly diagnosed, diagnosed but currently not in care, or diagnosed and in care but not yet virally suppressed to the essential HIV care and treatment and support services needed to help them achieve viral suppression.",Cooperative Agreements,Health care services,U.S. State Government (including the District of Columbia); Domestic Local Government (includes territories unless otherwise specified),Low Income,HIV/AIDS,0,66604,HIV/AIDS,0,66604,2021-01-13 at 13.32.03
730740,Department of Health and Human Services,RWHAP Part B - HIV Care Grants to States,"The Ryan White HIV/AIDS Program (RWHAP) Part B is the largest RWHAP Part and provides grants to all 50 states, the District of Columbia, Puerto Rico, the U.S. Virgin Islands, Guam, and five Associated Pacific Jurisdictions to provide services for people with HIV. RWHAP Part B grants support outpatient ambulatory medical care, HIV-related prescription medications, case management, oral health care, health insurance premium and cost-sharing assistance, mental health and substance abuse services, and support services.",Formula Grants,Health care services,U.S. State Government (including the District of Columbia); Domestic Local Government (includes territories unless otherwise specified),Low Income,HIV/AIDS,1319794,1342210,HIV/AIDS,1319794,1342210,2021-01-13 at 13.32.03
730741,Department of Health and Human Services,RWHAP Part C - Early Intervention Services,"HRSA’s Ryan White HIV/AIDS Program (RWHAP) Part C provides grants directly to community and faith-based organizations, health centers, health departments, and university or hospital-based clinics in 49 states, the District of Columbia, Puerto Rico, and the U.S. Virgin Islands. RWHAP Part C supports comprehensive primary health care and support services in an outpatient setting for low-income, uninsured, and underserved people with HIV.",Discretionary Grants,Health care services,"Indian/Native American Tribal Government; For-Profit Organization; Nonprofit without 501(c)(3) IRS Status; Nonprofit with 501(c)(3) Status; Private Educational Institution, Nonprofit; Private Educational Institution, For Profit; Public/State Controlled Institution; Special District Governments or Interstate; Domestic Local Government (includes territories unless otherwise specified)",Low Income,HIV/AIDS,201076,201026,HIV/AIDS,201076,201026,2021-01-13 at 13.32.03
730742,Department of Health and Human Services,"RWHAP Part D - Women, Infants, Children, and Youth","The Ryan White HIV/AIDS Program (RWHAP) Part D provides grants directly to public or private community-based organizations, hospitals, and State and local governments. The RWHAP Part D focuses on providing access to coordinated, comprehensive, culturally and linguistically competent, family-centered HIV primary medical care and support services. RWHAP services focus on low-income, uninsured, and underserved women, infants, children, and youth with HIV and their affected family members. RWHAP Part D also funds essential support services, such as case management and transportation that help clients’ access medical care and stay in care.",Discretionary Grants,Health care services,"Public/State Controlled Institution; U.S. State Government (including the District of Columbia); Special District Governments or Interstate; Domestic Local Government (includes territories unless otherwise specified); Indian/Native American Tribal Government; For-Profit Organization; Nonprofit without 501(c)(3) IRS Status; Nonprofit with 501(c)(3) Status; Private Educational Institution, Nonprofit; Private Educational Institution, For Profit",Women; Low Income; Youth (16-21); Child (6-15); Infant (0-5),HIV/AIDS,75026,75023,HIV/AIDS,75026,75023,2021-01-13 at 13.32.03
730743,Department of Health and Human Services,RWHAP Part F - AIDS Education and Training Programs,"The Ryan White HIV/AIDS Program (RWHAP) Part F AIDS Education and Training Center (AETC) program supports a network of eight regional centers and two national centers that conduct targeted, multidisciplinary education and training programs for health care providers serving people with HIV in all states, DC, Puerto Rico, the U.S. Virgin Islands, and the Associated Jurisdictions. The RWHAP AETC improves the quality of life of people with or at risk of HIV through the provision of specialized professional education and training. The program uses a strategy of implementation of multidisciplinary education and training programs for health care providers in the prevention and treatment of HIV.",Cooperative Agreements,Health care services,"U.S. State Government (including the District of Columbia); For-Profit Organization; Nonprofit without 501(c)(3) IRS Status; Nonprofit with 501(c)(3) Status; Private Educational Institution, Nonprofit; Private Educational Institution, For Profit; Public/State Controlled Institution; Special District Governments or Interstate; Domestic Local Government (includes territories unless otherwise specified); Indian/Native American Tribal Government",Health Professional; Scientist /Researchers; Student Trainee; Education Professional,HIV/AIDS,33601,33560,HIV/AIDS,33601,33560,2021-01-13 at 13.32.03
730744,Department of Health and Human Services,RWHAP Part F - Dental Programs,The Ryan White HIV/AIDS Program (RWHAP) Part F funding supports two dental programs: 1) HIV/AIDS Dental Reimbursement Program (DRP); and 2) Community-Based Dental Partnership Program (CBDPP). The RWHAP DRP ensures access to oral health care for low-income people with HIV by reimbursing dental education programs for the non-reimbursed costs they incur providing such care. The RWHAP CBDPP supports collaborations between dental education programs and community-based partners to deliver oral health services in community settings while supporting students and residents enrolled in accredited dental educations programs.,Discretionary Grants,Health care services,"U.S. State Government (including the District of Columbia); For-Profit Organization; Nonprofit without 501(c)(3) IRS Status; Nonprofit with 501(c)(3) Status; Private Educational Institution, Nonprofit; Private Educational Institution, For Profit; Public/State Controlled Institution; Special District Governments or Interstate; Domestic Local Government (includes territories unless otherwise specified); Indian/Native American Tribal Government",Health Professional; Low Income,HIV/AIDS,13121,13118,HIV/AIDS,13121,13118,2021-01-13 at 13.32.03
730745,Department of Health and Human Services,RWHAP Part F - Special Projects of National Significance,"The Ryan White HIV/AIDS Program (RWHAP) Part F Special Projects of National Significance (SPNS) supports the development, evaluation, and dissemination of innovative interventions, models and strategies for HIV care to improve the retention and health outcomes of RWHAP clients.",Cooperative Agreements,Health care services,"U.S. State Government (including the District of Columbia); For-Profit Organization; Nonprofit without 501(c)(3) IRS Status; Nonprofit with 501(c)(3) Status; Private Educational Institution, Nonprofit; Private Educational Institution, For Profit; Public/State Controlled Institution; Special District Governments or Interstate; Domestic Local Government (includes territories unless otherwise specified); Indian/Native American Tribal Government",Scientist /Researchers; Low Income,HIV/AIDS,24981,24913,HIV/AIDS,24981,24913,2021-01-13 at 13.32.03
731187,Department of Health and Human Services,Science and Service Program Coordination- AI/AN,"The program provides innovative training and technical assistance that helps tribal communities facilitate the development and implementation of comprehensive and collaborative community-based prevention plans to reduce violence, bullying, substance abuse, and suicide among American Indian/Alaska Native (AI/AN) youth, in support of the HHS Tribal Health and Well-Being Coordination.",Contractor Services,Health care services,Domestic Local Government (includes territories unless otherwise specified); Public/State Controlled Institution,Federally Recognized Indian Tribal Governments; American Indian; Native American Organizations,Native American,1029,1118,Native American,1029,1118,2021-01-13 at 13.32.03
731047,Department of Health and Human Services,State Opioid Response Grants,"The SOR program will provide resources to states, territories, and tribes to continue and enhance the development of comprehensive strategies focused upon preventing, intervening, and promoting recovery from problems related to opioid abuse.",Discretionary Grants,Health care services,U.S. State Government (including the District of Columbia); Indian/Native American Tribal Government; Domestic Local Government (includes territories unless otherwise specified),Anyone/General public,Opioid Epidemic Response,1497213,1499912,Opioid Epidemic Response,1497213,1499912,2021-01-13 at 13.32.03
731188,Department of Health and Human Services,Strategic Prevention Framework Partnership for Success- (AI/AN),The program addresses underage drinking among youth and young adults age 12 to 20. SPF-PFS is designed to ensure that prevention strategies and messages reach the populations most impacted by substance abuse. The program extends current established cross-agency and community-level partnerships by connecting substance abuse prevention programming to departments of social services and their community service providers.,Discretionary Grants,Health care services,Indian/Native American Tribal Government,Youth (16-21); Native American Organizations; American Indian,Native American,20018,20036,Native American,20018,20036,2021-01-13 at 13.32.03
731114,Department of Health and Human Services,Strategic Prevention Framework Rx,"The program assists grantees in developing capacity and expertise in the use of data from state run prescription drug monitoring programs (PDMP). The program also focuses on raising community awareness and bringing prescription drug use prevention activities and education to schools, communities, parents, prescribers, and their patients.",Discretionary Grants,Health care services,Indian/Native American Tribal Government; Domestic Local Government (includes territories unless otherwise specified),Person with substance use disorder,Opioid Epidemic Response,10000,10000,Opioid Epidemic Response,10000,10000,2021-01-13 at 13.32.03
731043,Department of Health and Human Services,Substance Abuse Prevention and Treatment Block Grant- (HIV/AIDS),"The grant funds are used to plan, carry out, and evaluate substance abuse prevention and treatment, and recovery support services for individuals, families, and communities impacted by substance abuse and misuse. The SABG’s overall goal is to support and expand substance abuse prevention and treatment services while providing maximum flexibility to grantees.",Discretionary Grants,Health care services,U.S. State Government (including the District of Columbia); Indian/Native American Tribal Government; Domestic Local Government (includes territories unless otherwise specified),Anyone/General public,HIV/AIDS,47641,47641,HIV/AIDS,47641,47641,2021-01-13 at 13.32.03
731183,Department of Health and Human Services,Substance Abuse Prevention and Treatment Block Grant- AI/AN,"The grant is provided to plan, carry out, and evaluate substance abuse prevention and treatment, and recovery support services for individuals, families, and communities impacted by substance abuse and misuse. The SABG’s overall goal is to support and expand substance abuse prevention and treatment services while providing maximum flexibility to grantees.",Discretionary Grants,Health care services,Indian/Native American Tribal Government; Domestic Local Government (includes territories unless otherwise specified),Native American Organizations; American Indian,Native American,557,557,Native American,557,557,2021-01-13 at 13.32.03
731194,Department of Health and Human Services,Supported Employment- Center for Mental Health Services (CMHS),"The Transforming Lives through Supported Employment Grant program is the remaining component of the Mental Health System Transformation program.  This program was implemented to help states foster the adoption and implementation of permanent transformative changes in how public mental health services are organized, managed, and delivered throughout the United States.",Discretionary Grants,Health care services,Indian/Native American Tribal Government,Federally Recognized Indian Tribal Governments; American Indian; Native American Organizations,Native American,800,800,Native American,800,800,2021-01-13 at 13.32.03
727836,Department of Health and Human Services,Temporary Assistance For Needy Families Program,"The Temporary Assistance for Needy Families (TANF) program provides states, territories, and tribes flexibility in operating programs designed to help low-income families achieve independence and economic self-sufficiency.  TANF funds must be used for one or more of the following statutory purposes:  providing assistance to needy families so that children may be cared for in their own homes or the homes of relatives; ending dependence of needy parents by promoting job preparation, work, and marriage; preventing and reducing the incidence of out-of-wedlock pregnancies; and, encouraging the formation and maintenance of two-parent families.",Formula Grants,Other income security,Indian/Native American Tribal Government; Domestic Local Government (includes territories unless otherwise specified); U.S. State Government (including the District of Columbia),Individual/Family; Low Income; U.S. Citizen; American Indian; Native American Organizations,Native American; Workforce Development,16508022,16509782,Native American,199879,199850,2021-01-13 at 13.32.03
727836,Department of Health and Human Services,Temporary Assistance For Needy Families Program,"The Temporary Assistance for Needy Families (TANF) program provides states, territories, and tribes flexibility in operating programs designed to help low-income families achieve independence and economic self-sufficiency.  TANF funds must be used for one or more of the following statutory purposes:  providing assistance to needy families so that children may be cared for in their own homes or the homes of relatives; ending dependence of needy parents by promoting job preparation, work, and marriage; preventing and reducing the incidence of out-of-wedlock pregnancies; and, encouraging the formation and maintenance of two-parent families.",Formula Grants,Other income security,Indian/Native American Tribal Government; Domestic Local Government (includes territories unless otherwise specified); U.S. State Government (including the District of Columbia),Individual/Family; Low Income; U.S. Citizen; American Indian; Native American Organizations,Native American; Workforce Development,16508022,16509782,Workforce Development,2800759,2800100,2021-01-13 at 13.32.03
727230,Department of Health and Human Services,Transitional Living Program,"Provides grants to public and private organizations for community-based, adult-supervised group homes, host homes, and supervised apartments for youth ages 16 to 21 who cannot safely live with their families",Discretionary Grants,Social services,"U.S. State Government (including the District of Columbia); Nonprofit without 501(c)(3) IRS Status; Nonprofit with 501(c)(3) Status; Private Educational Institution, Nonprofit; Domestic Local Government (includes territories unless otherwise specified); Indian/Native American Tribal Government",Youth (16-21),Homelessness,55636,51176,Homelessness,55636,51176,2021-01-13 at 13.32.03
729390,Department of Health and Human Services,Traumatic Brain Injury,"The Traumatic Brain Injury (TBI) Program develops comprehensive, coordinated family and person-centered service systems at the state and community level for individuals who sustain a TBI.  Many of these individuals live the rest of their lives with the resulting disability.  Individuals with TBI may need a variety of services and supports, including rehabilitation, counseling, academic and vocational accommodations, independent living assistance, transportation assistance, and vocational training.
",Formula Grants,Social services,Nonprofit with 501(c)(3) Status,Individuals with Developmental Disabilities,Native American,11263,11310,Native American,20,20,2021-01-13 at 13.32.03
731013,Department of Health and Human Services,Treatment Systems for Homeless,"Supports treatment services and the development and expansion of local systems that provide permanent housing and supportive services, including integration of treatment and other critical services for individuals with substance use disorders, Serious Mental Illness (SMI), or co-occurring mental and substance use disorders.",Discretionary Grants,Health care services,"U.S. State Government (including the District of Columbia); Private Educational Institution, Nonprofit; Domestic Local Government (includes territories unless otherwise specified)",Individual/Family; Youth (16-21),Homelessness,35925,36386,Homelessness,35925,36386,2021-01-13 at 13.32.03
731186,Department of Health and Human Services,Tribal Behavioral Health Grant Prevention- AI/AN,"The program supports tribal entities with the highest rates of suicide by providing effective and promising strategies that address substance abuse, trauma, and suicide and by promoting the mental health of AI/AN young people.",Discretionary Grants,Health care services,Indian/Native American Tribal Government,Native American Organizations; American Indian,Native American,19998,20000,Native American,19998,20000,2021-01-13 at 13.32.03
731268,Department of Health and Human Services,Tribal Behavioral Health Grants- Center for Mental Health Services (CMHS) AI/AN,"Support tribal communities with the highest rates of suicide by providing effective and promising strategies that address substance abuse, trauma, and suicide and by promoting the mental health of AI/AN young people. 
",Discretionary Grants,Health care services,Indian/Native American Tribal Government,Native American Organizations; Youth (16-21); American Indian,Native American,20000,20000,Native American,20000,20000,2021-01-13 at 13.32.03
731189,Department of Health and Human Services,Tribal Behavioral Health Grants- Mental Health,"The program addresses the high incidence of substance use and suicide among AI/AN populations. It provides effective and promising strategies that address substance abuse, trauma, and suicide and by promoting the mental health of AI/AN young people.",Discretionary Grants,Health care services,U.S. Federal Government; U.S. State Government (including the District of Columbia),Federally Recognized Indian Tribal Governments; American Indian; Native American Organizations,Native American,19817,19952,Native American,19817,19952,2021-01-13 at 13.32.03
729513,Department of Health and Human Services,Tribal Child Support,"Grants to Tribes operating Child Support programs to enforce the support obligations owed by absent parents to their children, locate absent parents, establish paternity and obtain child, spousal and medical support.",Mandatory Grants,Other income security,Indian/Native American Tribal Government,Native American Organizations; American Indian; Individual/Family,Native American,52325,56314,Native American,52325,56314,2021-01-13 at 13.32.03
732139,Department of Homeland Security,Accessible Property Screening Algorithm Development & False Alarm Reduction,"The effort supports algorithm development on the four Checkpoint CT system manufactures (Analogic, IDSS, L3, and Smiths) equipment.  The effort includes development for machine learning algorithms for improved explosives detection and improved non-explosives prohibited items (e.g., guns, knives, etc.) detection, data collection and testing.",Contractor Services,Other general government,For-Profit Organization,Anyone/General public,A.I. R&D/Quantum R&D,7000,7000,A.I. R&D/Quantum R&D,7000,7000,2021-01-13 at 13.32.03
729404,Department of Homeland Security,Advanced Computing,"The Advanced Computing Technology Centers bring together a full complement of capabilities as S&T’s resource and expertise in data sciences, computational methods, and modeling and simulation techniques. These centers invest in emerging innovations to experiment with and apply the strengths of artificial intelligence, machine learning, and scalable data analytics to homeland security systems and operations – including training applications that augment human perception and comprehension. The centers also provide access to the ecosystem of experts, tools, and applications that can be leveraged for new applications. The Advanced Computing Technology Centers work across disciplines to illuminate next-generation problem sets, technologies, and simulation environments to increase mission effectiveness. The centers conduct computationally- and data-intensive research in support of requirements generated by DHS customers.
",Other Direct Federal Spending,General science and basic research,U.S. Federal Government,Federal,A.I. R&D/Quantum R&D,10446,9033,A.I. R&D/Quantum R&D,760,1804,2021-01-13 at 13.32.03
729387,Department of Homeland Security,Awareness and Localization of Explosive-Related Threats (ALERT),"The Awareness and Localization of Explosive-Related Threats (ALERT) Center of Excellence conducts transformational research, technology and educational development to characterize, detect, mitigate, and respond to explosives-related threats facing the country and the world. 
",Cooperative Agreements,General science and basic research,U.S. Federal Government,Federal,A.I. R&D/Quantum R&D,4348,0,A.I. R&D/Quantum R&D,1126,0,2021-01-13 at 13.32.03
732141,Department of Homeland Security,Biological/Chemical Research and Development,"The Chem/Bio Research and Development project explores innovative, high-risk technologies that address gaps in U.S. chem/bio detection capabilities. The largest activity within this project is the Biological Detection for the 21st Century (BD21) Anomaly Detection Algorithm Development to enable early detection of potential biological threats.
",Contractor Services,Other general government,U.S. Federal Government,Anyone/General public,A.I. R&D/Quantum R&D,2100,3981,A.I. R&D/Quantum R&D,2100,3981,2021-01-13 at 13.32.03
729389,Department of Homeland Security,"Borders, Trade, and Immigration (BTI) Institute","The Borders, Trade, and Immigration (BTI) Institute Center of Excellence develops and transitions technology-based tools, techniques, and educational programs for border management, immigration, trade facilitation, and targeting and enforcement of transnational borders.
",Cooperative Agreements,General science and basic research,U.S. Federal Government,Federal,A.I. R&D/Quantum R&D,2600,974,A.I. R&D/Quantum R&D,351,0,2021-01-13 at 13.32.03
730884,Department of Homeland Security,Broadband for Emergency Communications Preparedness,Rural Broadband for Emergency Communications Preparedness,Other Direct Federal Spending,Other general government,Domestic Local Government (includes territories unless otherwise specified),Interstate,Broadband,88,88,Broadband,88,88,2021-01-13 at 13.32.03
729392,Department of Homeland Security,Center for Accelerating Operational Efficiency (CAOE),"The Center for Accelerating Operational Efficiency (CAOE) Center of Excellence conducts end user-focused research to enhance the application of analytic tools that support real-time decision making to address homeland security related threats and hazards. The Center also provides education and professional development to improve data management and analysis, to facilitate operations research and systems analysis, to identify the economic impact of security threats and hazards, and to critically assess future risks posed to DHS’s mission. 
",Cooperative Agreements,General purpose fiscal assistance,U.S. Federal Government,Federal,A.I. R&D/Quantum R&D,3650,3600,A.I. R&D/Quantum R&D,144,617,2021-01-13 at 13.32.03
729372,Department of Homeland Security,Checked Baggage,"Under the Checked Baggage Technology Development program, S&T and TSA are working jointly with industry and academia to research and develop interim technologies that enhance capabilities until the next generation explosive detection systems are developed and deployed. Acquired technologies will incorporate novel detection algorithms, enhanced software, more robust components and new innovative, scalable systems. AI is used in the development of Automatic Threat Recognitions Algorithms to detect threats in both Checked Baggage and Checkpoint screening operations.
",Contractor Services,Air transportation,For-Profit Organization,Federal,A.I. R&D/Quantum R&D,8093,3486,A.I. R&D/Quantum R&D,1397,0,2021-01-13 at 13.32.03
729338,Department of Homeland Security,Chem-Bio Threat Surveillance,"Chem-Bio Threat Surveillance program develops cost-effective systems to rapidly collect and exploit information required for rapid identification of biological incidents; thereby, enabling decision makers to more quickly initiate protective measures. To shorten the time required to deliver a prototype system, the program aims to pursue parallel tracks to solve multiple aspects of the problem and to make use of existing commercial-or government-off-the-shelf solutions. The objectives include: 1) addressing timeliness to detect the release of a biological agent by developing novel sensor/trigger technologies, 2) identifying data and data streams to provide early warning situational awareness, 3) integrating analytical tools and applying advanced computational techniques to integrate and analyze real-time data and 4) enabling more real-time sharing of information across Federal agencies and SLTT officials.
",Contractor Services,Defense-related activities,For-Profit Organization,Federal,A.I. R&D/Quantum R&D,6837,5509,A.I. R&D/Quantum R&D,1510,4139,2021-01-13 at 13.32.03
732140,Department of Homeland Security,Cognitive Sensor Network,"This R&D program is based on SIGMA software from the Defense Advanced Research Projects Agency program. The Cognitive Sensor Network (CSN) is a cloud-based sensor architecture with a web-based interface to support analysts, operators, and feed into the CWMD Information Architecture.
",Contractor Services,Other general government,Individual; U.S. Federal Government,Anyone/General public,A.I. R&D/Quantum R&D,500,500,A.I. R&D/Quantum R&D,500,500,2021-01-13 at 13.32.03
729394,Department of Homeland Security,Criminal Investigation and Network Analysis (CINA),"The Criminal Investigation and Network Analysis (CINA) Center of Excellence conducts end user-focused research to enhance investigation strategies to address transnational criminal organizations activities and other homeland security-related crimes. This COE also provides education and professional development to improve the cost-effectiveness of criminal investigations, prosecution, prediction, and prevention. 
",Cooperative Agreements,General science and basic research,U.S. Federal Government,Federal,A.I. R&D/Quantum R&D,7300,3600,A.I. R&D/Quantum R&D,570,250,2021-01-13 at 13.32.03
729393,Department of Homeland Security,Critical Infrastructure Resilience Institute (CIRI),"The Critical Infrastructure Resilience Institute (CIRI) Center of Excellence conducts research and education to enhance the resiliency of the Nation’s critical infrastructures, and the businesses and public entities that own and operate them. This research will provide a better understanding of risk management of catastrophic disruptions to infrastructure operations focusing on the dynamic interface between cyber and physical systems. 
",Cooperative Agreements,General science and basic research,U.S. Federal Government,Federal,A.I. R&D/Quantum R&D,7300,3600,A.I. R&D/Quantum R&D,326,141,2021-01-13 at 13.32.03
729371,Department of Homeland Security,Cyber Data Analytics,"Cyber Analytics Platform Capabilities (CAPC) within Cyber Data Analytics program develops and/or advances cyber analytic capabilities in three major areas: (1) automate, to the extent possible, what is currently a largely manual process of malware analysis; (2) improve Federal network protection through the development of an automated network data-centric threat discovery capability; and, (3) use data and analytics to gain information about adversaries to improve real-time network defense.",Contractor Services,General science and basic research,U.S. Federal Government,Federal,A.I. R&D/Quantum R&D,20942,9459,A.I. R&D/Quantum R&D,8755,5574,2021-01-13 at 13.32.03
728347,Department of Homeland Security,Data Analytics,"The Data Analytics project includes a family of R&D initiatives focused on technologies that integrate physical sensor data with other information streams (e.g., non-physical contextual and intelligence data), perform data analytics to determine patterns, and produce techniques for identifying anomalies.",Cooperative Agreements,Other general government,Public/State Controlled Institution; U.S. Federal Government,Anyone/General public,A.I. R&D/Quantum R&D,6758,5499,A.I. R&D/Quantum R&D,6758,5499,2021-01-13 at 13.32.03
731994,Department of Homeland Security,Emergency Food and Shelter Program (EFSP),"EFSP funds assist local organizations dedicated to feeding, sheltering, and providing critical resources to people with economic emergencies, including our nation's hungry and homeless populations.  These funds can be used for a broad range of services, including mass shelter, mass feeding, food pantries and food banks, utility bill payments to prevent cut-offs, rent/mortgage payment to prevents eviction/foreclosures and transition assistance from shelters to stable living conditions.",Discretionary Grants,Other income security,Nonprofit with 501(c)(3) Status,Anyone/General public,Homelessness,150000,325000,Homelessness,150000,325000,2021-01-13 at 13.32.03
732142,Department of Homeland Security,Enhanced Radiological/Nuclear Inspection and Evaluation (ERNIE),"The Enhanced Radiological Nuclear Inspection and Evaluation system is an advanced machine learning-based approach to analyze Radiation Portal Monitor scans for greater overall system performance (improved threat detection with reduced nuisance alarm rates).
",Contractor Services,Other general government,U.S. Federal Government,Anyone/General public,A.I. R&D/Quantum R&D,1300,1000,A.I. R&D/Quantum R&D,1300,1000,2021-01-13 at 13.32.03
729378,Department of Homeland Security,"Food, Agriculture and Veterinary Defense","The Rapid Evaluation of Pathogens to prevent Epidemics in Livestock (REPEL) effort within the Food, Agriculture and Veterinary Defense program will provide DHS, USDA APHIS, and other U.S. agencies with information to enable rapid assessment of foreign animal disease threats, by providing real-time nowcasting and forecasting of animal disease incidence, spread, and impact. REPEL's focus will be on using real-time current data in conjunction with machine-learning algorithms trained on historical data, as well as feeds of text processed by natural-language processing.
",Contractor Services,Agricultural research and services,U.S. Federal Government,Federal,A.I. R&D/Quantum R&D,3965,4143,A.I. R&D/Quantum R&D,566,0,2021-01-13 at 13.32.03
729375,Department of Homeland Security,Ground Based Technologies,"The Land Automated Scene Understanding (LASU) effort within S&T's Ground Based Technologies project supports U.S. Border Patrol to obtain the operational capability to use a common interface to ingest data from its surveillance sensors and automate analysis of the tactical data to produce decision support.  As part of the effort, investments are being made in assessing the ability of existing computer vision solutions (a form of artificial intelligence) to monitor sensor feeds from remote areas and alert an operator when an object of interest is detected for the operator to focus on and determine course of action based on the fuller context of the scene.  Specifically, the ability to use commercial market gaming solutions to generate realistic border scenes, outputting synthetic data sets, to train computer vision algorithms on data being investigated to determine if they can meet performance criteria while reducing cost and privacy concerns.
",Contractor Services,General science and basic research,U.S. Federal Government,Federal,A.I. R&D/Quantum R&D,12937,10218,A.I. R&D/Quantum R&D,700,0,2021-01-13 at 13.32.03
729402,Department of Homeland Security,Minority Serving Institutions (MSI),"The Minority Serving Institutions (MSI) program enhances the capabilities of MSI to develop homeland security-related science, technology, engineering, and mathematics research and curricula, and prepare MSI students for successful homeland security careers. Current MSI programs, including the Scientific Leadership Award (SLA) program and the Summer Research Team (SRT) program, are developing course content and training in areas critical to homeland security while they also build enduring partnerships with COEs. With small investments, S&T expects significant returns in the development of the next generation of scientists and engineers focused on homeland security.
",Cooperative Agreements,General science and basic research,U.S. Federal Government,Federal,A.I. R&D/Quantum R&D,500,2601,A.I. R&D/Quantum R&D,96,0,2021-01-13 at 13.32.03
729396,Department of Homeland Security,"National Counterterrorism Innovation, Technology and Education Center of Excellence (NCITE)","National Counterterrorism Innovation, Technology and Education (NCITE) Center of Excellence directly supports the Homeland Security Enterprise (HSE) counterterrorism missions and professionals with user-inspired projects that are necessary to prevent terrorism and improve security. NCITE identifies, mentors, and evaluates products from the academic community and only conducts research that makes a difference to the HSE and can be applied to operations.
",Cooperative Agreements,General science and basic research,U.S. Federal Government,Federal,A.I. R&D/Quantum R&D,0,3600,A.I. R&D/Quantum R&D,0,194,2021-01-13 at 13.32.03
729481,Department of Homeland Security,Native American Affairs,The program office (DHS Office of Partnership and Engagement (OPE)) considered all personnel who support Native American Efforts both directly and indirectly. At present one FTE is dedicated to Native American Affairs efforts 100% of the time (the Director of Tribal Affairs).  The Director provides support through committees or attends conferences such as the National Native American Law Enforcement Association (NNALEA) conference.,Federal Pay and Benefits,Other general government,Individual,Native American Organizations,Native American,686,222,Native American,686,222,2021-01-13 at 13.32.03
730854,Department of Homeland Security,Native American Funding for Emergency Communications Preparedness,Native American Funding for Emergency Communications Preparedness,Other Direct Federal Spending,Other general government,Indian/Native American Tribal Government,Native American Organizations,Native American,546,546,Native American,546,546,2021-01-13 at 13.32.03
729385,Department of Homeland Security,"Probabilistic Analysis of National Threat, Hazards, and Risks (PANTHR) Hazard Knowledge Center","The Hazard Knowledge Center within the Probabilistic Analysis of National Threats, Hazards and Risks (PANTHR) Program assesses state of the art techniques in artifical intelligence and machine learning (AI/ML) and understand the ways in which technology acquisitions in AI/ML may improve hazard knowledge management. The program explores High Performance Computing capabilities to process large quantities of data, learning algorithms, data processing components, data integrity elements, big data storage and analytics for large-scale data processing.
",Contractor Services,General science and basic research,U.S. Federal Government,Federal,A.I. R&D/Quantum R&D,4300,8812,A.I. R&D/Quantum R&D,0,300,2021-01-13 at 13.32.03
729374,Department of Homeland Security,Remote Maritime Technologies,"Remote Maritime Technologies project is performing R&D on solutions to detect and respond to illicit maritime activities or emergency situations in a timely manner. Research includes space systems to enhance Intelligence, Surveillance and Reconnaissance (ISR) and communications capabilities; data analytics to provide timely alerting to illicit behaviors or emergency situations; technologies to aid in effective prevention and response to hazards; and solutions to prevent loss of life.
",Contractor Services,Defense-related activities,For-Profit Organization,Federal,A.I. R&D/Quantum R&D,9946,7215,A.I. R&D/Quantum R&D,7384,6576,2021-01-13 at 13.32.03
732037,Department of Homeland Security,Risk MAP - 3DEP (Lidar),"The 3D Elevation Program - 3DEP - is a national program managed by the U.S. Geological Survey (USGS) to acquire high-resolution elevation data.  The goal of the cooperatively funded program is to complete in 8 years (by 2023) national coverage of lidar for the conterminous United States, Hawaii, and the U.S. territories; and IfSAR for Alaska.  3DEP provides a systematic approach for aligning federal, state and local investments in digital elevation models.",Contractor Services,Disaster relief and insurance,U.S. Federal Government,Federal; Local; State,Flood Risk,2740,938,Flood Risk,2740,938,2021-01-13 at 13.32.03
726620,Department of Homeland Security,Risk MAP - Contractor Services,"Risk MAP supports community resilience by providing data, building partnerships, and supporting long-term hazard mitigation planning. In particular, Risk MAP’s Flood Risk Products work alongside regulatory products to provide flood risk information and support community’s overall floodplain management and hazard mitigation strategies",Contractor Services,Disaster relief and insurance,U.S. State Government (including the District of Columbia); Domestic Local Government (includes territories unless otherwise specified),State; Local,Flood Risk,265414,238695,Flood Risk,265414,238695,2021-01-13 at 13.32.03
729383,Department of Homeland Security,Risk MAP - Cooperative Agreements,"Risk MAP supports community resilience by providing data, building partnerships, and supporting long-term hazard mitigation planning. In particular, Risk MAP’s Flood Risk Products work alongside regulatory products to provide flood risk information and support community’s overall floodplain management and hazard mitigation strategies.",Cooperative Agreements,Disaster relief and insurance,Domestic Local Government (includes territories unless otherwise specified); U.S. State Government (including the District of Columbia),Local; State,Flood Risk,90017,102276,Flood Risk,90017,102276,2021-01-13 at 13.32.03
